date,order_id,customer_id,sku,revenue,quantity,profit,margin,year,month,week,day_of_week,day_of_month,month_name,Бренд,Категория,Тип,current_price,segment,tier,avg_price,profit_margin
2025-04-29,ORD403816,28074469,HHH_Black_6852,4990,4,13322.6,1.0,2025,4,18,Tuesday,29,April,KZDOO,Чехлы,Чехол для смартфона,4990.0,Loyal Customers,Platinum,1247.5,2.669859719438878
2025-09-02,ORD675177,43049959,EEE_Purple_6689,5500,1,162.0,0.0294545454545454,2025,9,36,Tuesday,2,September,KZDOO,Чехлы,Чехол для смартфона,5500.0,High Value New Customers,Platinum,5500.0,0.029454545454545455
2025-03-25,ORD360591,26492321,EEE_Purple_3803,2300,1,226.0,0.0982608695652173,2025,3,13,Tuesday,25,March,Renata,Батарейки и аккумуляторы,Батарейка,2300.0,Loyal Customers,Gold,2300.0,0.09826086956521739
2025-08-14,ORD969172,19770679,HHH_Red_1115,7828,1,1158.3199999999997,0.1479713847726111,2025,8,33,Thursday,14,August,K-DOO,Чехлы,Чехол для смартфона,7828.0,Loyal Customers,Platinum,7828.0,0.1479713847726111
2025-07-31,ORD341446,12307278,DDD_White_5998,7522,4,20333.38,1.0,2025,7,31,Thursday,31,July,KZDOO,Чехлы,Чехол для смартфона,7522.0,High Value New Customers,Gold,1880.5,2.703187981919702
2025-06-03,ORD341029,62741760,HHH_Titanium_3383,8990,1,361.0,0.0401557285873192,2025,6,23,Tuesday,3,June,KEEPHONE,Чехлы,Чехол для смартфона,8990.0,Cannot Lose Them,Silver,8990.0,0.040155728587319243
2025-01-21,ORD618048,85505511,FFF_Purple_4867,2000,4,5211.0,1.0,2025,1,4,Tuesday,21,January,REMAX,Защитные пленки и стекла,Защитное стекло,2000.0,At Risk,Bronze,500.0,2.6055
2025-03-13,ORD399461,80855016,FFF_Titanium_1848,5990,3,9180.7,1.0,2025,3,11,Thursday,13,March,KEEPHONE,Чехлы,Чехол для смартфона,5990.0,Loyal Customers,Platinum,1996.6666666666667,1.532671118530885
2025-08-10,ORD918840,44260719,HHH_Purple_8562,3790,4,9305.6,1.0,2025,8,32,Sunday,10,August,KEEPHONE,Чехлы,Чехол для смартфона,3790.0,Loyal Customers,Gold,947.5,2.4553034300791556
2025-04-07,ORD470357,51633895,BBB_Purple_8101,2000,3,3431.0,1.0,2025,4,15,Monday,7,April,Нет бренда,Чехлы,Чехол для смартфона,2000.0,At Risk,Bronze,666.6666666666666,1.7155
2025-03-29,ORD113279,68446959,HHH_Blue_5098,5980,1,735.1999999999998,0.122943143812709,2025,3,13,Saturday,29,March,KZDOO,Чехлы,Чехол для смартфона,5980.0,113,Bronze,5980.0,0.122943143812709
2025-05-09,ORD873526,48819696,BBB_Black_2129,5100,3,8021.0,1.0,2025,5,19,Friday,9,May,KZDOO,Чехлы,Чехол для наушников,5100.0,Cannot Lose Them,Silver,1700.0,1.5727450980392157
2025-03-12,ORD159437,19991230,GGG_Clear_6751,5380,4,12741.2,1.0,2025,3,11,Wednesday,12,March,KZDOO,Чехлы,Чехол для смартфона,5380.0,Potential Loyalists,Silver,1345.0,2.3682527881040896
2025-06-12,ORD844963,84862533,FFF_Red_8076,7580,2,7875.799999999999,1.0,2025,6,24,Thursday,12,June,KEEPHONE,Чехлы,Чехол для смартфона,7580.0,235,Gold,3790.0,1.0390237467018468
2025-01-25,ORD503417,99453640,CCC_Green_7311,11100,3,21388.0,1.0,2025,1,4,Saturday,25,January,KZDOO,Чехлы,Чехол для смартфона,11100.0,Loyal Customers,Platinum,3700.0,1.926846846846847
2025-07-04,ORD469944,15752189,HHH_Pink_7554,5100,3,8002.0,1.0,2025,7,27,Friday,4,July,KZDOO,Чехлы,Чехол для наушников,5100.0,Loyal Customers,Platinum,1700.0,1.5690196078431373
2025-04-01,ORD914651,61524158,FFF_Blue_7386,5100,1,984.0,0.1929411764705882,2025,4,14,Tuesday,1,April,KZDOO,Чехлы,Чехол для смартфона,5100.0,Loyal Customers,Platinum,5100.0,0.19294117647058823
2025-06-27,ORD585317,31882676,CCC_Titanium_5561,4980,4,13912.6,1.0,2025,6,26,Friday,27,June,KZDOO,Чехлы,Чехол для смартфона,4980.0,213,Silver,1245.0,2.793694779116466
2025-02-11,ORD622448,30155466,GGG_Red_1294,5580,3,9803.0,1.0,2025,2,7,Tuesday,11,February,KZDOO,Чехлы,Чехол для смартфона,5580.0,Loyal Customers,Platinum,1860.0,1.756810035842294
2025-07-24,ORD113296,93626225,FFF_Clear_4303,9990,3,16498.2,1.0,2025,7,30,Thursday,24,July,KZDOO,Чехлы,Чехол для смартфона,9990.0,Champions,Platinum,3330.0,1.6514714714714716
2025-03-02,ORD457465,95754103,EEE_White_9532,2980,3,5019.8,1.0,2025,3,9,Sunday,2,March,KZDOO,Чехлы,Чехол для смартфона,2980.0,Potential Loyalists,Silver,993.3333333333334,1.684496644295302
2025-09-16,ORD361670,93626225,FFF_Clear_4303,9990,3,16900.6,1.0,2025,9,38,Tuesday,16,September,KZDOO,Чехлы,Чехол для смартфона,9990.0,Champions,Platinum,3330.0,1.6917517517517515
2025-01-13,ORD718001,39196346,AAA_Purple_3049,5980,2,4705.799999999999,0.7869230769230768,2025,1,3,Monday,13,January,KZDOO,Чехлы,Чехол для смартфона,5980.0,High Value New Customers,Gold,2990.0,0.7869230769230768
2025-09-03,ORD946589,45016869,GGG_Black_6808,3490,4,9739.9,1.0,2025,9,36,Wednesday,3,September,KZDOO,Чехлы,Чехол для смартфона,3490.0,New Customers,Gold,872.5,2.7908022922636104
2025-02-28,ORD605723,59404266,GGG_Pink_4100,6090,1,779.3000000000002,0.1279638752052545,2025,2,9,Friday,28,February,KZDOO,Чехлы,Чехол для смартфона,6090.0,113,Bronze,6090.0,0.12796387520525454
2025-04-11,ORD213113,33351587,CCC_Black_6996,9980,1,1840.4,0.1844088176352705,2025,4,15,Friday,11,April,KZDOO,Чехлы,Чехол для смартфона,9980.0,High Value New Customers,Platinum,9980.0,0.18440881763527056
2025-05-29,ORD856285,43510857,GGG_Green_3846,6580,2,5422.6,0.8241033434650457,2025,5,22,Thursday,29,May,KZDOO,Чехлы,Чехол для смартфона,6580.0,High Value New Customers,Gold,3290.0,0.8241033434650457
2025-08-05,ORD656901,11165756,BBB_Clear_6493,6490,4,17239.7,1.0,2025,8,32,Tuesday,5,August,KEEPHONE,Чехлы,Чехол для смартфона,6490.0,314,Silver,1622.5,2.6563482280431434
2025-06-21,ORD805783,97578232,DDD_Titanium_7441,4980,3,8237.8,1.0,2025,6,25,Saturday,21,June,K-DOO,Чехлы,Чехол для наушников,4980.0,235,Gold,1660.0,1.654176706827309
2025-06-30,ORD533471,74566460,FFF_Blue_4146,11316,2,12329.760000000002,1.0,2025,6,27,Monday,30,June,KZDOO,Чехлы,Чехол для смартфона,11316.0,High Value New Customers,Platinum,5658.0,1.0895864262990458
2025-02-23,ORD555979,11935679,DDD_Green_2791,6580,4,17229.0,1.0,2025,2,8,Sunday,23,February,KZDOO,Чехлы,Чехол для смартфона,6580.0,Cannot Lose Them,Silver,1645.0,2.61838905775076
2025-01-28,ORD402712,33871669,EEE_Titanium_5854,4980,3,9574.6,1.0,2025,1,5,Tuesday,28,January,KZDOO,Чехлы,Чехол для смартфона,4980.0,At Risk,Bronze,1660.0,1.9226104417670684
2025-01-18,ORD387929,23021957,EEE_Black_4856,1000,2,507.0,0.507,2025,1,3,Saturday,18,January,REMAX,Защитные пленки и стекла,Защитное стекло,1000.0,Potential Loyalists,Silver,500.0,0.507
2025-08-05,ORD216082,99447531,HHH_Blue_6556,6580,4,16529.4,1.0,2025,8,32,Tuesday,5,August,KZDOO,Чехлы,Чехол для смартфона,6580.0,Potential Loyalists,Silver,1645.0,2.512066869300912
2025-04-20,ORD892776,77963118,EEE_Clear_8396,2850,1,-243.5,-0.085438596491228,2025,4,16,Sunday,20,April,KEEPHONE,Чехлы,Чехол для смартфона,2850.0,At Risk,Bronze,2850.0,-0.08543859649122806
2025-07-25,ORD990435,61490753,EEE_Purple_3010,1140,1,-110.0,-0.0964912280701754,2025,7,30,Friday,25,July,Renata,Батарейки и аккумуляторы,Батарейка,1140.0,New Customers,Silver,1140.0,-0.09649122807017543
2025-03-14,ORD562096,13837776,CCC_Clear_4340,900,4,1942.0,1.0,2025,3,11,Friday,14,March,Robiton,Батарейки и аккумуляторы,Батарейка,900.0,At Risk,Bronze,225.0,2.1577777777777776
2025-05-12,ORD277485,42673199,HHH_White_7627,7180,1,587.8000000000002,0.0818662952646239,2025,5,20,Monday,12,May,KZDOO,Чехлы,Чехол для смартфона,7180.0,High Value New Customers,Gold,7180.0,0.08186629526462398
2025-09-17,ORD334132,51813913,BBB_Blue_8050,2150,4,5055.5,1.0,2025,9,38,Wednesday,17,September,KEEPHONE,Чехлы,Чехол для смартфона,2150.0,New Customers,Gold,537.5,2.3513953488372095
2025-02-18,ORD343999,52180216,FFF_Red_7430,1800,3,2719.0,1.0,2025,2,8,Tuesday,18,February,K-DOO,Чехлы,Чехол для смартфона,1800.0,At Risk,Bronze,600.0,1.5105555555555557
2025-01-12,ORD238567,91841741,CCC_Pink_9680,7500,4,19746.0,1.0,2025,1,2,Sunday,12,January,KZDOO,Чехлы,Чехол для смартфона,7500.0,High Value New Customers,Platinum,1875.0,2.6328
2025-09-04,ORD796337,95432311,HHH_Clear_8087,4980,3,8743.2,1.0,2025,9,36,Thursday,4,September,KZDOO,Чехлы,Чехол для смартфона,4980.0,New Customers,Silver,1660.0,1.7556626506024098
2025-07-12,ORD365405,45437720,DDD_Black_8635,2850,2,2860.0,1.0,2025,7,28,Saturday,12,July,KEEPHONE,Чехлы,Чехол для смартфона,2850.0,Champions,Platinum,1425.0,1.0035087719298246
2025-08-15,ORD318298,64474460,DDD_Titanium_4062,6520,4,16748.4,1.0,2025,8,33,Friday,15,August,KZDOO,Чехлы,Чехол для смартфона,6520.0,High Value New Customers,Gold,1630.0,2.5687730061349696
2025-01-18,ORD341055,15266766,AAA_Black_3318,3490,2,3006.7,0.8615186246418337,2025,1,3,Saturday,18,January,KZDOO,Чехлы,Чехол для смартфона,3490.0,Potential Loyalists,Silver,1745.0,0.8615186246418337
2025-01-24,ORD657307,83601675,HHH_White_5225,9180,1,446.6000000000004,0.0486492374727669,2025,1,4,Friday,24,January,KZDOO,Чехлы,Чехол для смартфона,9180.0,High Value New Customers,Gold,9180.0,0.04864923747276693
2025-02-07,ORD380998,38137830,CCC_Titanium_4802,5380,3,8830.8,1.0,2025,2,6,Friday,7,February,KZDOO,Чехлы,Чехол для смартфона,5380.0,High Value New Customers,Gold,1793.3333333333333,1.6414126394052044
2025-01-20,ORD634818,30184321,DDD_Clear_2056,2780,4,7657.0,1.0,2025,1,4,Monday,20,January,KZDOO,Чехлы,Чехол для смартфона,2780.0,At Risk,Bronze,695.0,2.75431654676259
2025-09-08,ORD971365,43049959,EEE_Purple_6689,5500,2,4717.0,0.8576363636363636,2025,9,37,Monday,8,September,KZDOO,Чехлы,Чехол для смартфона,5500.0,High Value New Customers,Platinum,2750.0,0.8576363636363636
2025-01-01,ORD980613,26677770,CCC_Titanium_7668,3700,3,7114.0,1.0,2025,1,1,Wednesday,1,January,KEEPHONE,Чехлы,Чехол для смартфона,3700.0,234,Gold,1233.3333333333333,1.9227027027027026
2025-08-03,ORD749831,30038596,CCC_Red_8685,2150,3,3596.0,1.0,2025,8,31,Sunday,3,August,KEEPHONE,Чехлы,Чехол для смартфона,2150.0,Potential Loyalists,Bronze,716.6666666666666,1.6725581395348836
2025-04-11,ORD464135,57648642,AAA_Blue_3186,7380,1,1086.1999999999998,0.1471815718157181,2025,4,15,Friday,11,April,KEEPHONE,Чехлы,Чехол для смартфона,7380.0,At Risk,Bronze,7380.0,0.14718157181571814
2025-07-28,ORD496712,68455110,AAA_Purple_5764,4980,1,642.5999999999999,0.1290361445783132,2025,7,31,Monday,28,July,KZDOO,Чехлы,Чехол для смартфона,4980.0,Loyal Customers,Platinum,4980.0,0.12903614457831322
2025-04-12,ORD244390,97371150,CCC_Titanium_4827,6000,3,10813.0,1.0,2025,4,15,Saturday,12,April,KZDOO,Чехлы,Чехол для смартфона,6000.0,324,Gold,2000.0,1.8021666666666667
2025-05-11,ORD660354,58507722,AAA_Purple_1838,5500,3,10310.0,1.0,2025,5,19,Sunday,11,May,K-DOO,Чехлы,Чехол для смартфона,5500.0,Potential Loyalists,Silver,1833.3333333333333,1.8745454545454545
2025-05-29,ORD964759,20929551,HHH_White_8048,1450,4,3349.5,1.0,2025,5,22,Thursday,29,May,KZDOO,Чехлы,Чехол для смартфона,1450.0,At Risk,Bronze,362.5,2.31
2025-01-23,ORD817554,12665141,EEE_Clear_2689,5580,3,8901.8,1.0,2025,1,4,Thursday,23,January,KZDOO,Чехлы,Чехол для смартфона,5580.0,325,Gold,1860.0,1.5953046594982077
2025-07-10,ORD226932,21656338,AAA_Purple_3646,5100,4,12752.0,1.0,2025,7,28,Thursday,10,July,KZDOO,Чехлы,Чехол для смартфона,5100.0,324,Gold,1275.0,2.500392156862745
2025-08-07,ORD452265,38609788,FFF_Black_2193,5980,3,10880.2,1.0,2025,8,32,Thursday,7,August,KZDOO,Чехлы,Чехол для смартфона,5980.0,New Customers,Gold,1993.3333333333333,1.8194314381270904
2025-07-16,ORD916245,86313043,CCC_Purple_9765,3490,1,-60.0,-0.0171919770773638,2025,7,29,Wednesday,16,July,KZDOO,Чехлы,Чехол для смартфона,3490.0,Loyal Customers,Gold,3490.0,-0.017191977077363897
2025-05-29,ORD246086,13837776,CCC_Clear_4340,900,4,2174.0,1.0,2025,5,22,Thursday,29,May,Robiton,Батарейки и аккумуляторы,Батарейка,900.0,At Risk,Bronze,225.0,2.4155555555555557
2025-07-01,ORD346717,19963943,AAA_Black_2871,1400,2,1220.0,0.8714285714285714,2025,7,27,Tuesday,1,July,Нет бренда,Кабели и переходники,Кабель-переходник,1400.0,Potential Loyalists,Silver,700.0,0.8714285714285714
2025-09-21,ORD233938,70074612,BBB_Red_5004,2860,1,206.4000000000001,0.0721678321678322,2025,9,38,Sunday,21,September,Robiton,Батарейки и аккумуляторы,Батарейка,2860.0,New Customers,Silver,2860.0,0.0721678321678322
2025-03-30,ORD619117,13739750,BBB_Pink_5147,6090,4,17015.2,1.0,2025,3,13,Sunday,30,March,KZDOO,Чехлы,Чехол для смартфона,6090.0,Cannot Lose Them,Gold,1522.5,2.7939573070607553
2025-05-04,ORD250806,60736622,HHH_Pink_2327,9380,4,23937.2,1.0,2025,5,18,Sunday,4,May,KZDOO,Чехлы,Чехол для смартфона,9380.0,Cannot Lose Them,Gold,2345.0,2.551940298507463
2025-05-04,ORD250806,60736622,HHH_Pink_2327,9380,4,23937.2,1.0,2025,5,18,Sunday,4,May,KZDOO,Чехлы,Чехол для смартфона,9380.0,Cannot Lose Them,Gold,2345.0,2.551940298507463
2025-03-03,ORD353102,94015399,HHH_Titanium_5260,4980,2,4607.8,0.9252610441767068,2025,3,10,Monday,3,March,KZDOO,Чехлы,Чехол для смартфона,4980.0,Cannot Lose Them,Silver,2490.0,0.9252610441767068
2025-01-31,ORD168427,46775139,EEE_Green_8714,6580,4,18260.2,1.0,2025,1,5,Friday,31,January,KZDOO,Чехлы,Чехол для смартфона,6580.0,Cannot Lose Them,Silver,1645.0,2.7751063829787235
2025-06-22,ORD899287,63259901,CCC_White_6266,5100,3,9437.0,1.0,2025,6,25,Sunday,22,June,KZDOO,Чехлы,Чехол для наушников,5100.0,Loyal Customers,Gold,1700.0,1.850392156862745
2025-06-25,ORD135392,42076004,BBB_Titanium_8654,5100,2,4840.0,0.9490196078431372,2025,6,26,Wednesday,25,June,KZDOO,Чехлы,Чехол для смартфона,5100.0,At Risk,Bronze,2550.0,0.9490196078431372
2025-03-03,ORD461712,49649549,BBB_Black_9198,880,1,-319.6,-0.3631818181818182,2025,3,10,Monday,3,March,Robiton,Батарейки и аккумуляторы,Батарейка,880.0,New Customers,Silver,880.0,-0.3631818181818182
2025-02-18,ORD676755,50907007,DDD_White_7187,11100,1,354.0,0.0318918918918918,2025,2,8,Tuesday,18,February,KZDOO,Чехлы,Чехол для смартфона,11100.0,Cannot Lose Them,Gold,11100.0,0.03189189189189189
2025-09-22,ORD535118,79145863,BBB_Clear_5799,2980,3,5576.2,1.0,2025,9,39,Monday,22,September,KZDOO,Чехлы,Чехол для смартфона,2980.0,New Customers,Gold,993.3333333333334,1.8712080536912752
2025-06-01,ORD854740,55426923,AAA_Red_9393,7828,1,1940.4,0.247879407256004,2025,6,22,Sunday,1,June,K-DOO,Чехлы,Чехол для смартфона,7828.0,Cannot Lose Them,Gold,7828.0,0.2478794072560041
2025-05-09,ORD702940,91929436,HHH_Red_3612,2700,4,6678.0,1.0,2025,5,19,Friday,9,May,KZDOO,Чехлы,Чехол для смартфона,2700.0,At Risk,Bronze,675.0,2.473333333333333
2025-05-12,ORD946946,93626225,FFF_Clear_4303,9990,4,27512.0,1.0,2025,5,20,Monday,12,May,KZDOO,Чехлы,Чехол для смартфона,9990.0,Champions,Platinum,2497.5,2.753953953953954
2025-04-25,ORD999527,21837136,GGG_Clear_8073,2300,3,3858.0,1.0,2025,4,17,Friday,25,April,Varta,Батарейки и аккумуляторы,Батарейка,2300.0,New Customers,Silver,766.6666666666666,1.6773913043478261
2025-08-22,ORD831209,38056815,AAA_Pink_8879,2390,1,4.099999999999909,0.001715481171548,2025,8,34,Friday,22,August,KEEPHONE,Чехлы,Чехол для смартфона,2390.0,New Customers,Silver,2390.0,0.0017154811715480792
2025-05-05,ORD550422,94336108,EEE_Titanium_3108,5580,1,79.0,0.0141577060931899,2025,5,19,Monday,5,May,KZDOO,Чехлы,Чехол для смартфона,5580.0,235,Gold,5580.0,0.014157706093189963
2025-09-07,ORD858186,41515025,DDD_Purple_3677,980,3,1484.1999999999998,1.0,2025,9,36,Sunday,7,September,Varta,Батарейки и аккумуляторы,Батарейка,980.0,New Customers,Silver,326.6666666666667,1.5144897959183672
2025-03-27,ORD766814,39478464,BBB_Clear_6099,3700,2,3929.0,1.0,2025,3,13,Thursday,27,March,KEEPHONE,Чехлы,Чехол для смартфона,3700.0,New Customers,Gold,1850.0,1.0618918918918918
2025-08-22,ORD547785,54781961,DDD_Titanium_1016,7522,1,891.5200000000004,0.1185216697686786,2025,8,34,Friday,22,August,KZDOO,Чехлы,Чехол для смартфона,7522.0,High Value New Customers,Gold,7522.0,0.1185216697686786
2025-02-12,ORD578554,70326795,FFF_Purple_9422,11100,2,9284.0,0.8363963963963964,2025,2,7,Wednesday,12,February,Неизвестно,Чехлы,Неизвестно,11100.0,Champions,Platinum,5550.0,0.8363963963963964
2025-08-24,ORD704250,40042947,GGG_Green_4062,5990,1,-103.59999999999992,-0.0172954924874791,2025,8,34,Sunday,24,August,KEEPHONE,Чехлы,Чехол для смартфона,5990.0,New Customers,Silver,5990.0,-0.01729549248747912
2025-02-27,ORD314660,61674284,DDD_Black_1765,5560,1,287.1999999999998,0.0516546762589927,2025,2,9,Thursday,27,February,KZDOO,Чехлы,Чехол для смартфона,5560.0,Potential Loyalists,Silver,5560.0,0.051654676258992775
2025-04-06,ORD451731,59240777,DDD_Titanium_5938,1220,1,23.600000000000023,0.0193442622950819,2025,4,14,Sunday,6,April,REMAX,Защитные пленки и стекла,Защитное стекло,1220.0,New Customers,Gold,1220.0,0.019344262295081988
2025-04-02,ORD314839,21970497,GGG_Black_1389,3914,1,661.5,0.1690086867654573,2025,4,14,Wednesday,2,April,KZDOO,Чехлы,Чехол для смартфона,3914.0,New Customers,Silver,3914.0,0.16900868676545733
2025-07-13,ORD116411,11460725,EEE_Purple_9341,7580,4,20136.8,1.0,2025,7,28,Sunday,13,July,KEEPHONE,Чехлы,Чехол для смартфона,7580.0,314,Silver,1895.0,2.656569920844327
2025-07-04,ORD541226,16837385,AAA_Blue_3988,7580,2,5987.6,0.7899208443271768,2025,7,27,Friday,4,July,KEEPHONE,Чехлы,Чехол для смартфона,7580.0,Loyal Customers,Platinum,3790.0,0.7899208443271768
2025-04-04,ORD931992,77440758,DDD_Red_3932,9180,2,8855.8,0.9646840958605664,2025,4,14,Friday,4,April,KZDOO,Чехлы,Чехол для смартфона,9180.0,Cannot Lose Them,Silver,4590.0,0.9646840958605664
2025-01-04,ORD709248,17961013,GGG_Purple_4980,3490,1,-330.5,-0.0946991404011461,2025,1,1,Saturday,4,January,KZDOO,Чехлы,Чехол для смартфона,3490.0,123,Silver,3490.0,-0.09469914040114613
2025-05-20,ORD118389,58484682,GGG_Green_9626,4380,1,-25.800000000000185,-0.0058904109589041,2025,5,21,Tuesday,20,May,KZDOO,Чехлы,Чехол для смартфона,4380.0,Loyal Customers,Platinum,4380.0,-0.005890410958904152
2025-09-27,ORD256204,82611352,HHH_Pink_5740,3380,2,2844.4,0.8415384615384615,2025,9,39,Saturday,27,September,KZDOO,Чехлы,Чехол для смартфона,3380.0,High Value New Customers,Gold,1690.0,0.8415384615384616
2025-08-22,ORD644336,13687354,DDD_Black_1710,4990,4,13043.8,1.0,2025,8,34,Friday,22,August,KZDOO,Чехлы,Чехол для смартфона,4990.0,High Value New Customers,Gold,1247.5,2.6139879759519036
