sku,Бренд,Категория,Тип,current_price,original_price,rating,volume_l,volume_weight_kg,vat_percent,abc_class,xyz_class,abc_xyz_class,revenue,percent_contribution,cv,strategic_recommendation,priority
HHH_Titanium_3383,KEEPHONE,Чехлы,Чехол для смартфона,8990.0,8990.0,4.8,0.41,0.1,0,A,Z,AZ,17980,0.0015353449996212,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Purple_4867,REMAX,Защитные пленки и стекла,Защитное стекло,2000.0,4900.0,0.0,0.17,0.1,0,B,Z,BZ,8000,0.0006831345938248,1.5,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
FFF_Titanium_1848,KEEPHONE,Чехлы,Чехол для смартфона,5990.0,7490.0,4.9,0.41,0.1,0,A,Z,AZ,35940,0.003068982162758,1.1171601832324676,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Purple_8562,KEEPHONE,Чехлы,Чехол для смартфона,3790.0,5990.0,5.0,0.28,0.1,0,A,Z,AZ,18950,0.0016181750691225,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Purple_8101,Нет бренда,Чехлы,Чехол для смартфона,2000.0,7900.0,5.0,0.08,0.1,0,C,Z,CZ,4000,0.0003415672969124,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
HHH_Blue_5098,KZDOO,Чехлы,Чехол для смартфона,5980.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,11960,0.0010212862177681,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Black_2129,KZDOO,Чехлы,Чехол для наушников,5100.0,11990.0,4.9,0.3,0.1,0,A,Z,AZ,15300,0.0013064949106899,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Clear_6751,KZDOO,Чехлы,Чехол для смартфона,5380.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,10760,0.0009188160286943,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Red_8076,KEEPHONE,Чехлы,Чехол для смартфона,7580.0,11990.0,5.0,0.6,0.1,0,A,Z,AZ,45480,0.0038836201658941,1.1858541225631425,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Green_7311,KZDOO,Чехлы,Чехол для смартфона,11100.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,55500,0.0047392462446597,1.224744871391589,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Pink_7554,KZDOO,Чехлы,Чехол для наушников,5100.0,11990.0,4.9,0.3,0.1,0,A,Z,AZ,30600,0.0026129898213799,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Blue_7386,KZDOO,Чехлы,Чехол для смартфона,5100.0,11990.0,1.0,0.36,0.1,0,A,Z,AZ,25500,0.0021774915178166,1.4414597193293262,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Titanium_5561,KZDOO,Чехлы,Чехол для смартфона,4980.0,11990.0,4.4,0.36,0.1,0,B,Z,BZ,9960,0.0008505025693119,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
GGG_Red_1294,KZDOO,Чехлы,Чехол для смартфона,5580.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,27900,0.002382431895964,1.6102091284985316,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Clear_4303,KZDOO,Чехлы,Чехол для смартфона,9990.0,14990.0,0.0,0.36,0.1,0,A,Z,AZ,99900,0.0085306432403874,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_White_9532,KZDOO,Чехлы,Чехол для смартфона,2980.0,11990.0,4.5,0.36,0.1,0,B,Z,BZ,8940,0.0007634029085992,1.5811388300841898,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
AAA_Purple_3049,KZDOO,Чехлы,Чехол для смартфона,5980.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,17940,0.0015319293266521,1.5874507866387544,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Black_6808,KZDOO,Чехлы,Чехол для смартфона,3490.0,3490.0,0.0,1.32,0.3,0,A,Z,AZ,10470,0.0008940523996682,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Pink_4100,KZDOO,Чехлы,Чехол для смартфона,6090.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,12180,0.0010400724190982,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Black_6996,KZDOO,Чехлы,Чехол для смартфона,9980.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,29940,0.0025566312173893,1.984313483298443,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Green_3846,KZDOO,Чехлы,Чехол для смартфона,6580.0,11990.0,4.6,0.36,0.1,0,A,Z,AZ,19740,0.0016856346102627,1.6345871038277526,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Clear_6493,KEEPHONE,Чехлы,Чехол для смартфона,6490.0,11990.0,4.8,0.41,0.1,0,A,Z,AZ,12980,0.0011083858784807,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Blue_4146,KZDOO,Чехлы,Чехол для смартфона,11316.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,45264,0.0038651755318608,1.5347536447260846,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Green_2791,KZDOO,Чехлы,Чехол для смартфона,6580.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,19740,0.0016856346102627,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Titanium_5854,KZDOO,Чехлы,Чехол для смартфона,4980.0,11990.0,4.8,0.36,0.1,0,C,Z,CZ,4980,0.0004252512846559,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
HHH_Blue_6556,KZDOO,Чехлы,Чехол для смартфона,6580.0,11990.0,4.5,0.36,0.1,0,B,Z,BZ,6580,0.0005618782034209,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
EEE_Clear_8396,KEEPHONE,Чехлы,Чехол для смартфона,2850.0,3990.0,3.5,0.39,0.1,0,B,Z,BZ,5700,0.0004867333981001,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
EEE_Purple_3010,Renata,Батарейки и аккумуляторы,Батарейка,1140.0,4900.0,5.0,0.04,0.1,0,C,Z,CZ,3420,0.0002920400388601,1.6770509831248424,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
CCC_Clear_4340,Robiton,Батарейки и аккумуляторы,Батарейка,900.0,2900.0,4.8,0.01,0.1,0,C,Z,CZ,1800,0.0001537052836105,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
HHH_White_7627,KZDOO,Чехлы,Чехол для смартфона,7180.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,21540,0.0018393398938733,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Blue_8050,KEEPHONE,Чехлы,Чехол для смартфона,2150.0,3490.0,0.0,0.38,0.1,0,B,Z,BZ,6450,0.0005507772662712,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
FFF_Red_7430,K-DOO,Чехлы,Чехол для смартфона,1800.0,11990.0,4.8,0.36,0.1,0,C,Z,CZ,1800,0.0001537052836105,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
CCC_Pink_9680,KZDOO,Чехлы,Чехол для смартфона,7500.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,22500,0.0019213160451323,1.518481189862733,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Clear_8087,KZDOO,Чехлы,Чехол для смартфона,4980.0,11990.0,4.2,0.36,0.1,0,B,Z,BZ,9960,0.0008505025693119,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
DDD_Black_8635,KEEPHONE,Чехлы,Чехол для смартфона,2850.0,4790.0,0.0,0.38,0.1,0,A,Z,AZ,19950,0.0017035668933506,1.2120265114521256,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Titanium_4062,KZDOO,Чехлы,Чехол для смартфона,6520.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,19560,0.0016702640819016,1.518481189862733,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Black_3318,KZDOO,Чехлы,Чехол для смартфона,3490.0,3490.0,0.0,0.36,0.1,0,A,Z,AZ,10470,0.0008940523996682,1.6345871038277526,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_White_5225,KZDOO,Чехлы,Чехол для смартфона,9180.0,11990.0,4.5,0.36,0.1,0,A,Z,AZ,27540,0.0023516908392419,1.6345871038277526,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Titanium_4802,KZDOO,Чехлы,Чехол для смартфона,5380.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,16140,0.0013782240430415,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Clear_2056,KZDOO,Чехлы,Чехол для смартфона,2780.0,11990.0,4.7,0.36,0.1,0,B,Z,BZ,5560,0.0004747785427082,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
CCC_Titanium_7668,KEEPHONE,Чехлы,Чехол для смартфона,3700.0,11990.0,4.9,0.38,0.1,0,A,Z,AZ,18500,0.0015797487482199,1.254059153254579,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Red_8685,KEEPHONE,Чехлы,Чехол для смартфона,2150.0,2990.0,0.0,0.38,0.1,0,C,Z,CZ,2150,0.0001835924220904,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
AAA_Blue_3186,KEEPHONE,Чехлы,Чехол для смартфона,7380.0,11990.0,5.0,0.6,0.1,0,B,Z,BZ,7380,0.0006301916628033,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
AAA_Purple_5764,KZDOO,Чехлы,Чехол для смартфона,4980.0,11990.0,4.2,0.36,0.1,0,A,Z,AZ,29880,0.0025515077079357,1.4361406616345072,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_Titanium_4827,KZDOO,Чехлы,Чехол для смартфона,6000.0,11000.0,0.0,0.36,0.1,0,A,Z,AZ,18000,0.0015370528361058,1.673624930551426,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Purple_1838,K-DOO,Чехлы,Чехол для смартфона,5500.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,11000,0.0009393100665091,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_White_8048,KZDOO,Чехлы,Чехол для смартфона,1450.0,2990.0,4.9,0.36,0.1,0,C,Z,CZ,2900,0.0002476362902614,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
EEE_Clear_2689,KZDOO,Чехлы,Чехол для смартфона,5580.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,22320,0.0019059455167712,1.5811388300841898,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Purple_3646,KZDOO,Чехлы,Чехол для смартфона,5100.0,11990.0,0.0,0.36,0.1,0,A,Z,AZ,15300,0.0013064949106899,1.518481189862733,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Black_2193,KZDOO,Чехлы,Чехол для смартфона,5980.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,11960,0.0010212862177681,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Black_2871,Нет бренда,Кабели и переходники,Кабель-переходник,1400.0,7900.0,4.6,0.45,0.1,0,C,Z,CZ,4200,0.000358645661758,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
BBB_Red_5004,Robiton,Батарейки и аккумуляторы,Батарейка,2860.0,11990.0,4.6,0.03,0.1,0,B,Z,BZ,5720,0.0004884412345847,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
BBB_Pink_5147,KZDOO,Чехлы,Чехол для смартфона,6090.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,24360,0.0020801448381965,1.522333734763833,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Pink_2327,KZDOO,Чехлы,Чехол для смартфона,9380.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,95040,0.0081156389746388,1.037346112212187,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Titanium_5260,KZDOO,Чехлы,Чехол для смартфона,4980.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,14940,0.0012757538539678,1.6345871038277526,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
EEE_Green_8714,KZDOO,Чехлы,Чехол для смартфона,6580.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,19740,0.0016856346102627,1.5811388300841898,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
CCC_White_6266,KZDOO,Чехлы,Чехол для наушников,5100.0,11990.0,4.9,0.3,0.1,0,A,Z,AZ,30600,0.0026129898213799,1.254059153254579,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Titanium_8654,KZDOO,Чехлы,Чехол для смартфона,5100.0,11990.0,4.2,0.36,0.1,0,C,Z,CZ,5100,0.0004354983035633,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
BBB_Black_9198,Robiton,Батарейки и аккумуляторы,Батарейка,880.0,2900.0,4.9,0.02,0.1,0,C,Z,CZ,3520,0.0003005792212829,1.5874507866387542,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
DDD_White_7187,KZDOO,Чехлы,Чехол для смартфона,11100.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,33300,0.0028435477467958,1.673624930551426,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Clear_5799,KZDOO,Чехлы,Чехол для смартфона,2980.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,11920,0.0010178705447989,1.792842914001591,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Red_9393,K-DOO,Чехлы,Чехол для смартфона,7828.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,23484,0.0020053416001727,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Red_3612,KZDOO,Чехлы,Чехол для смартфона,2700.0,11990.0,4.9,0.36,0.1,0,B,Z,BZ,5400,0.0004611158508317,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
GGG_Clear_8073,Varta,Батарейки и аккумуляторы,Батарейка,2300.0,7900.0,4.9,0.04,0.1,0,B,Z,BZ,6900,0.0005892035871739,1.5811388300841898,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
AAA_Pink_8879,KEEPHONE,Чехлы,Чехол для смартфона,2390.0,3990.0,4.2,0.38,0.1,0,C,Z,CZ,4780,0.0004081729198103,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
EEE_Titanium_3108,KZDOO,Чехлы,Чехол для смартфона,5580.0,11990.0,0.0,0.36,0.1,0,A,Z,AZ,27900,0.002382431895964,1.65,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Clear_6099,KEEPHONE,Чехлы,Чехол для смартфона,3700.0,11990.0,4.6,0.38,0.1,0,A,Z,AZ,11100,0.0009478492489319,1.5874507866387544,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Titanium_1016,KZDOO,Чехлы,Чехол для смартфона,7522.0,11990.0,4.8,0.36,0.1,0,A,Z,AZ,22566,0.0019269519055313,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Purple_9422,Неизвестно,Чехлы,Неизвестно,11100.0,11990.0,5.0,0.36,0.1,0,A,Z,AZ,88800,0.0075827939914555,0.9486832980505138,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Green_4062,KEEPHONE,Чехлы,Чехол для смартфона,5990.0,11990.0,4.8,0.41,0.1,0,A,Z,AZ,11980,0.0010229940542526,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Black_1765,KZDOO,Чехлы,Чехол для смартфона,5560.0,11990.0,4.2,0.36,0.1,0,A,Z,AZ,11120,0.0009495570854165,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Titanium_5938,REMAX,Защитные пленки и стекла,Защитное стекло,1220.0,4900.0,5.0,0.17,0.1,0,B,Z,BZ,7320,0.0006250681533497,1.2494896917525644,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
GGG_Black_1389,KZDOO,Чехлы,Чехол для смартфона,3914.0,4990.0,4.6,0.36,0.1,0,B,Z,BZ,7828,0.0006684472000575,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
EEE_Purple_9341,KEEPHONE,Чехлы,Чехол для смартфона,7580.0,11990.0,4.9,0.28,0.1,0,A,Z,AZ,15160,0.001294540055298,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
AAA_Blue_3988,KEEPHONE,Чехлы,Чехол для смартфона,7580.0,11990.0,4.9,0.28,0.1,0,A,Z,AZ,37900,0.003236350138245,1.6431676725154982,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Red_3932,KZDOO,Чехлы,Чехол для смартфона,9180.0,11990.0,4.5,0.36,0.1,0,A,Z,AZ,27540,0.0023516908392419,1.6345871038277526,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Purple_4980,KZDOO,Чехлы,Чехол для смартфона,3490.0,3490.0,0.0,1.32,0.3,0,A,Z,AZ,10470,0.0008940523996682,1.0,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
GGG_Green_9626,KZDOO,Чехлы,Чехол для смартфона,4380.0,11990.0,4.9,0.36,0.1,0,A,Z,AZ,21900,0.0018700809505954,1.3679084287289685,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_Pink_5740,KZDOO,Чехлы,Чехол для смартфона,3380.0,11990.0,4.7,0.36,0.1,0,A,Z,AZ,13520,0.0011544974635639,1.4051653980647143,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Black_1710,KZDOO,Чехлы,Чехол для смартфона,4990.0,4990.0,0.0,0.36,0.1,0,A,Z,AZ,19960,0.0017044208115929,1.5347536447260846,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
FFF_Red_3712,KEEPHONE,Чехлы,Чехол для смартфона,3400.0,3990.0,5.0,0.39,0.1,0,A,Z,AZ,17000,0.0014516610118777,1.1186042688118447,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
BBB_Red_7058,KEEPHONE,Чехлы,Чехол для смартфона,6980.0,11990.0,0.0,0.48,0.1,0,A,Z,AZ,34900,0.0029801746655607,1.2046507510281403,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
HHH_White_7575,KZDOO,Чехлы,Чехол для смартфона,2790.0,3990.0,4.9,0.36,0.1,0,B,Z,BZ,5580,0.0004764863791928,1.0,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
DDD_Blue_6449,Robiton,Батарейки и аккумуляторы,Батарейка,580.0,2900.0,4.9,0.01,0.1,0,C,Z,CZ,2320,0.0001981090322091,1.0,❌ ПРОБЛЕМНЫЕ - Кандидат на исключение,Низкий
AAA_Black_9253,KEEPHONE,Чехлы,Чехол для смартфона,5980.0,11990.0,5.0,0.28,0.1,0,A,Z,AZ,23920,0.0020425724355362,1.1858541225631425,⚡ ВОПРОСЫ - Изучить нестабильность,Высокий
DDD_Titanium_6156,REMAX,Защитные пленки и стекла,Защитное стекло,1340.0,4900.0,5.0,0.17,0.1,0,B,Z,BZ,5360,0.0004577001778626,1.697056274847714,⚠ РИСКОВАННЫЕ - Контролировать запасы,Средний
