Номер отправления,Статус отправления,Ozon ID,Артикул товара,Итоговая стоимость,Количество товаров в отправлении,Скидка %,Акции,Регион доставки,Способ доставки,Сумма отправления,"Скидка, руб.",Вознаграждение %,"Вознаграждение, руб.",Стоимость доставки,К выплате,Склад отгрузки,Дата логистической операции,date,discount_rub,commission_rub,payout,sku,customer_id,order_id,revenue,quantity,discount_percent,shipment_amount,commission_percent,delivery_cost,estimated_cost,profit,margin,Артикул,Ozon Product ID,SKU,Barcode,Контент-рейтинг,Бренд,Метки,Отзывы,Рейтинг,Категория,Тип,"Объем товара, л","Объемный вес, кг","Доступно к продаже по схеме FBO, шт.","Зарезервировано, шт","Доступно к продаже по схеме FBS, шт.","Доступно к продаже по схеме realFBS, шт.","Зарезервировано на моих складах, шт","Текущая цена с учетом скидки, ₽","Цена до скидки (перечеркнутая цена), ₽","Цена Premium, ₽","Размер НДС, %",rating,volume_l,volume_weight_kg,vat_percent,current_price,original_price,has_discount,discount_size
ORD593281,В пути,81893634,GGG_Red_7442,5980,1,15,Новогодняя распродажа,клх Волоколамск,ПВЗ,5980,897,11,"657,8",383,"4042,2",Склад 2,12.06.2025,2025-06-12,897.0,657.8,4042.2,GGG_Red_7442,81893634,ORD593281,5980,1,15,5980,11,383,3588.0,404.1999999999998,0.06759197324414713,GGG_Red_7442,81893634,315917844,"4,59785E+12",'45,KZDOO,,12,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,4,0,9,0,0,5980.0,11990.0,,0%,4.7,0.36,0.1,0,5980.0,11990.0,True,0.5012510425354462
ORD530990,Отменен,91076807,AAA_Red_5295,3090,2,20,Новогодняя распродажа,г. Камышлов,Постамат,6180,618,18,"1112,4",447,"4002,6",Склад 1,18.01.2025,2025-01-18,618.0,1112.4,4002.6,AAA_Red_5295,91076807,ORD530990,3090,2,20,6180,18,447,1854.0,2048.6,0.6629773462783172,AAA_Red_5295,91076807,309454265,"7,60308E+12",'87.5,KEEPHONE,,134,'4.80,Чехлы,Чехол для смартфона,'0.39,'0.1,0,0,0,0,0,3090.0,3990.0,,0%,4.8,0.39,0.1,0,3090.0,3990.0,True,0.22556390977443608
ORD503940,Доставлен,43502425,BBB_Blue_7291,10006,2,15,Новогодняя распродажа,ст. Гремячинск (Бурят.),Курьер,20012,"1500,9",15,"3001,8",253,"15256,3",Склад 1,15.09.2025,2025-09-15,1500.9,3001.8,15256.3,BBB_Blue_7291,43502425,ORD503940,10006,2,15,20012,15,253,6003.599999999999,9152.7,0.9147211672996203,BBB_Blue_7291,43502425,382568290,RND817489947,'70,KZDOO,,20,'4.80,Чехлы,Чехол для смартфона,'0.36,'0.1,12,0,10,0,0,10006.0,11990.0,,0%,4.8,0.36,0.1,0,10006.0,11990.0,True,0.16547122602168474
ORD576104,Доставлен,41460381,AAA_Green_6938,3816,1,5,Новогодняя распродажа,к. Мирный,ПВЗ,3816,"190,8",18,"686,88",225,"2713,32",Склад 1,29.05.2025,2025-05-29,190.8,686.88,2713.32,AAA_Green_6938,41460381,ORD576104,3816,1,5,3816,18,225,2289.6,373.72000000000025,0.09793501048218035,AAA_Green_6938,41460381,871302033,"6,15358E+12",'70,KZDOO,,62,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,10,0,9,0,0,3816.0,11990.0,,0%,4.7,0.36,0.1,0,3816.0,11990.0,True,0.6817347789824854
ORD101019,Доставлен,80700206,BBB_Black_9217,2780,4,20,Нет,с. Канск,Постамат,11120,556,13,"1445,6",252,"8866,4",Склад 2,17.06.2025,2025-06-17,556.0,1445.6,8866.4,BBB_Black_9217,80700206,ORD101019,2780,4,20,11120,13,252,1668.0,6998.4,1.0,BBB_Black_9217,80700206,261754403,"2,79624E+12",'70,KZDOO,,9,'4.90,Чехлы,Чехол для смартфона,'0.41,'0.1,1,0,0,0,0,2780.0,11990.0,,0%,4.9,0.41,0.1,0,2780.0,11990.0,True,0.76814011676397
ORD455346,В пути,99772524,GGG_Purple_5307,1100,4,5,Черная пятница,ст. Благовещенск (Амур.),Постамат,4400,55,11,484,107,3754,Склад 3,08.05.2025,2025-05-08,55.0,484.0,3754.0,GGG_Purple_5307,99772524,ORD455346,1100,4,5,4400,11,107,660.0,2894.0,1.0,GGG_Purple_5307,99772524,806617150,RND840655268,'52.5,KZDOO,,23,'4.90,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,0,0,0,1100.0,1990.0,,0%,4.9,0.36,0.1,0,1100.0,1990.0,True,0.4472361809045226
ORD258093,Доставлен,72055283,DDD_Purple_2787,10980,3,0,Новогодняя распродажа,г. Тырныауз,Курьер,32940,0,10,3294,389,29257,Склад 2,26.05.2025,2025-05-26,0.0,3294.0,29257.0,DDD_Purple_2787,72055283,ORD258093,10980,3,0,32940,10,389,6588.0,22519.0,1.0,DDD_Purple_2787,72055283,531173313,"3,13693E+12",'52.5,KZDOO,,4,'5.00,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,0,0,0,10980.0,11990.0,,0%,5.0,0.36,0.1,0,10980.0,11990.0,True,0.08423686405337781
ORD233161,Отменен,86313043,CCC_Purple_9765,3490,2,5,Черная пятница,г. Сибай,Курьер,6980,"174,5",12,"837,6",239,"5728,9",Склад 3,21.03.2025,2025-03-21,174.5,837.6,5728.9,CCC_Purple_9765,86313043,ORD233161,3490,2,5,6980,12,239,2094.0,3534.8999999999996,1.0,CCC_Purple_9765,86313043,776560091,RND301676616,'45,KZDOO,,0,'0.00,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,10,0,0,3490.0,3490.0,,0%,0.0,0.36,0.1,0,3490.0,3490.0,False,0.0
ORD575676,В пути,70160612,AAA_Purple_3399,7828,3,15,Нет,к. Листвянка (Иркут.),Постамат,23484,"1174,2",12,"2818,08",225,"19266,72",Склад 1,08.02.2025,2025-02-08,1174.2,2818.08,19266.72,AAA_Purple_3399,70160612,ORD575676,7828,3,15,23484,12,225,4696.8,14419.920000000002,1.0,AAA_Purple_3399,70160612,259925388,RND883366813,'45,KZDOO,,3,'4.60,Чехлы,Чехол для смартфона,'0.36,'0.1,1,0,0,0,0,7828.0,11990.0,,0%,4.6,0.36,0.1,0,7828.0,11990.0,True,0.34712260216847374
ORD253973,Отменен,97578232,DDD_Titanium_7441,4980,3,10,Новогодняя распродажа,п. Владикавказ,Курьер,14940,498,15,2241,339,11862,Склад 2,25.01.2025,2025-01-25,498.0,2241.0,11862.0,DDD_Titanium_7441,97578232,ORD253973,4980,3,10,14940,15,339,2988.0,8724.0,1.0,DDD_Titanium_7441,97578232,930336386,"9,44173E+12",'65,K-DOO,,11,'4.90,Чехлы,Чехол для наушников,'0.27,'0.1,1,0,0,0,0,4980.0,11990.0,,0%,4.9,0.27,0.1,0,4980.0,11990.0,True,0.5846538782318599
ORD636470,Доставлен,51684723,DDD_Green_6168,7180,1,5,Черная пятница,к. Мезень,Курьер,7180,359,10,718,274,5829,Склад 2,22.09.2025,2025-09-22,359.0,718.0,5829.0,DDD_Green_6168,51684723,ORD636470,7180,1,5,7180,10,274,4308.0,1471.0,0.20487465181058495,DDD_Green_6168,51684723,706798559,"3,34049E+12",'45,KZDOO,,5,'4.60,Чехлы,Чехол для смартфона,'0.36,'0.1,23,0,10,0,0,7180.0,11990.0,,0%,4.6,0.36,0.1,0,7180.0,11990.0,True,0.4011676396997498
ORD766443,Доставлен,44373202,AAA_Purple_7609,1580,1,10,Новогодняя распродажа,клх Чокурдах,Постамат,1580,158,15,237,492,693,Склад 1,01.07.2025,2025-07-01,158.0,237.0,693.0,AAA_Purple_7609,44373202,ORD766443,1580,1,10,1580,15,492,948.0,-305.0,-0.1930379746835443,AAA_Purple_7609,44373202,352803164,"7,75844E+12",'77.5,REMAX,,8,'5.00,Защитные пленки и стекла,Защитное стекло,'0.17,'0.1,0,0,10,0,0,1580.0,7900.0,,0%,5.0,0.17,0.1,0,1580.0,7900.0,True,0.8
ORD712310,Доставлен,11732154,BBB_Green_4467,4980,1,0,Новогодняя распродажа,клх Троицко-Печорск,Постамат,4980,0,13,"647,4",242,"4090,6",Склад 2,23.01.2025,2025-01-23,0.0,647.4,4090.6,BBB_Green_4467,11732154,ORD712310,4980,1,0,4980,13,242,2988.0,1052.6,0.21136546184738955,BBB_Green_4467,11732154,849129317,"2,43718E+12",'45,KZDOO,,2,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,4,0,10,0,0,4980.0,11990.0,,0%,4.7,0.36,0.1,0,4980.0,11990.0,True,0.5846538782318599
ORD862071,В пути,59197687,GGG_Blue_7759,9180,2,20,Новогодняя распродажа,клх Курильск,Курьер,18360,1836,15,2754,345,13425,Склад 3,19.08.2025,2025-08-19,1836.0,2754.0,13425.0,GGG_Blue_7759,59197687,ORD862071,9180,2,20,18360,15,345,5508.0,7817.0,0.851525054466231,GGG_Blue_7759,59197687,489733354,RND233841868,'70,KZDOO,,7,'4.50,Чехлы,Чехол для смартфона,'0.36,'0.1,1,0,0,0,0,9180.0,11990.0,,0%,4.5,0.36,0.1,0,9180.0,11990.0,True,0.23436196830692244
ORD302165,Отменен,96808638,AAA_Titanium_9014,2933,1,20,Новогодняя распродажа,к. Шахты,ПВЗ,2933,"586,6",17,"498,61",224,"1623,79",Склад 3,16.03.2025,2025-03-16,586.6,498.61,1623.79,AAA_Titanium_9014,96808638,ORD302165,2933,1,20,2933,17,224,1759.8,-186.01,-0.06341970678486192,AAA_Titanium_9014,96808638,139365803,RND424847138,'70,KEEPHONE,,1,'5.00,Чехлы,Чехол для смартфона,'0.28,'0.1,0,0,0,0,0,2933.0,4750.0,,0%,5.0,0.28,0.1,0,2933.0,4750.0,True,0.38252631578947366
ORD930014,В пути,27378295,GGG_Blue_2566,900,1,10,Новогодняя распродажа,ст. Юровск,Курьер,900,90,16,144,496,170,Склад 3,25.06.2025,2025-06-25,90.0,144.0,170.0,GGG_Blue_2566,27378295,ORD930014,900,1,10,900,16,496,540.0,-420.0,-0.4666666666666667,GGG_Blue_2566,27378295,766401956,RND678305707,'70,Robiton,,41,'4.70,Батарейки и аккумуляторы,Батарейка,'0.01,'0.1,12,0,1,0,0,900.0,2900.0,,0%,4.7,0.01,0.1,0,900.0,2900.0,True,0.6896551724137931
ORD872256,В пути,71218572,BBB_White_1747,3100,2,20,Новогодняя распродажа,к. Тамбей,ПВЗ,6200,620,19,1178,278,4124,Склад 2,21.04.2025,2025-04-21,620.0,1178.0,4124.0,BBB_White_1747,71218572,ORD872256,3100,2,20,6200,19,278,1860.0,2164.0,0.6980645161290323,BBB_White_1747,71218572,707719310,RND650372256,'45,KZDOO,,8,'4.90,Чехлы,Чехол для смартфона,'0.36,'0.1,10,1,0,0,0,3100.0,11990.0,,0%,4.9,0.36,0.1,0,3100.0,11990.0,True,0.7414512093411176
ORD354718,Доставлен,88663806,AAA_Black_2640,1020,2,5,Новогодняя распродажа,с. Тотьма,Постамат,2040,51,11,"224,4",353,"1411,6",Склад 2,26.07.2025,2025-07-26,51.0,224.4,1411.6,AAA_Black_2640,88663806,ORD354718,1020,2,5,2040,11,353,612.0,699.5999999999999,0.6858823529411764,AAA_Black_2640,88663806,333774632,RND963072093,'70,Robiton,,14,'5.00,Батарейки и аккумуляторы,Батарейка,'0.02,'0.1,0,0,44,0,0,1020.0,4900.0,,0%,5.0,0.02,0.1,0,1020.0,4900.0,True,0.7918367346938775
ORD403816,В пути,28074469,HHH_Black_6852,4990,4,10,Нет,г. Калязин,ПВЗ,19960,499,14,"2794,4",150,"16516,6",Склад 3,29.04.2025,2025-04-29,499.0,2794.4,16516.6,HHH_Black_6852,28074469,ORD403816,4990,4,10,19960,14,150,2994.0,13322.599999999999,1.0,HHH_Black_6852,28074469,579865383,RND803506766,'40,KZDOO,,0,'4.80,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,0,0,0,4990.0,8000.0,,0%,4.8,0.36,0.1,0,4990.0,8000.0,True,0.37625
ORD675177,В пути,43049959,EEE_Purple_6689,5500,1,15,Нет,клх Туапсе,Постамат,5500,825,14,770,393,3512,Склад 2,02.09.2025,2025-09-02,825.0,770.0,3512.0,EEE_Purple_6689,43049959,ORD675177,5500,1,15,5500,14,393,3300.0,162.0,0.029454545454545455,EEE_Purple_6689,43049959,754337627,"5,23316E+12",'35,KZDOO,,0,'0.00,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,10,0,0,5500.0,11000.0,,0%,0.0,0.36,0.1,0,5500.0,11000.0,True,0.5
ORD360591,Доставлен,26492321,EEE_Purple_3803,2300,1,5,Новогодняя распродажа,д. Тобольск,Курьер,2300,115,14,322,207,1656,Склад 3,25.03.2025,2025-03-25,115.0,322.0,1656.0,EEE_Purple_3803,26492321,ORD360591,2300,1,5,2300,14,207,1380.0,226.0,0.09826086956521739,EEE_Purple_3803,26492321,252837027,RND201657734,'65,Renata,,1,'5.00,Батарейки и аккумуляторы,Батарейка,'0.04,'0.1,0,0,489,0,0,2300.0,7900.0,,0%,5.0,0.04,0.1,0,2300.0,7900.0,True,0.7088607594936709
ORD969172,В пути,19770679,HHH_Red_1115,7828,1,5,Новогодняя распродажа,д. Тырныауз,Курьер,7828,"391,4",16,"1252,48",279,"5905,12",Склад 1,14.08.2025,2025-08-14,391.4,1252.48,5905.12,HHH_Red_1115,19770679,ORD969172,7828,1,5,7828,16,279,4696.8,1158.3199999999997,0.1479713847726111,HHH_Red_1115,19770679,938278188,"2,50368E+12",'77.5,K-DOO,,14,'4.70,Чехлы,Чехол для смартфона,'0.36,'0.1,11,0,5,0,0,7828.0,11990.0,,0%,4.7,0.36,0.1,0,7828.0,11990.0,True,0.34712260216847374
ORD341446,Доставлен,12307278,DDD_White_5998,7522,4,5,Нет,клх Борзя,Постамат,30088,"376,1",14,"4212,32",453,"25046,58",Склад 3,31.07.2025,2025-07-31,376.1,4212.32,25046.58,DDD_White_5998,12307278,ORD341446,7522,4,5,30088,14,453,4513.2,20333.38,1.0,DDD_White_5998,12307278,615621376,"6,23617E+12",'77.5,KZDOO,,78,'4.80,Чехлы,Чехол для смартфона,'0.36,'0.1,1,0,0,0,0,7522.0,11990.0,,0%,4.8,0.36,0.1,0,7522.0,11990.0,True,0.37264386989157633
ORD341029,Доставлен,62741760,HHH_Titanium_3383,8990,1,15,Нет,п. Тихвин,Постамат,8990,"1348,5",15,"1348,5",488,5805,Склад 1,03.06.2025,2025-06-03,1348.5,1348.5,5805.0,HHH_Titanium_3383,62741760,ORD341029,8990,1,15,8990,15,488,5394.0,361.0,0.040155728587319243,HHH_Titanium_3383,62741760,960266028,"9,21541E+12",'77.5,KEEPHONE,,71,'4.80,Чехлы,Чехол для смартфона,'0.41,'0.1,0,0,0,0,0,8990.0,8990.0,,0%,4.8,0.41,0.1,0,8990.0,8990.0,False,0.0
ORD618048,Доставлен,85505511,FFF_Purple_4867,2000,4,0,Нет,п. Троицко-Печорск,Постамат,8000,0,14,1120,269,6611,Склад 1,21.01.2025,2025-01-21,0.0,1120.0,6611.0,FFF_Purple_4867,85505511,ORD618048,2000,4,0,8000,14,269,1200.0,5211.0,1.0,FFF_Purple_4867,85505511,464433831,RND213935135,'82.5,REMAX,,254,'0.00,Защитные пленки и стекла,Защитное стекло,'0.17,'0.1,6,0,12,0,0,2000.0,4900.0,,0%,0.0,0.17,0.1,0,2000.0,4900.0,True,0.5918367346938775
ORD399461,Доставлен,80855016,FFF_Titanium_1848,5990,3,20,Новогодняя распродажа,д. Хоста,Курьер,17970,1198,19,"3414,3",433,"12924,7",Склад 1,13.03.2025,2025-03-13,1198.0,3414.3,12924.7,FFF_Titanium_1848,80855016,ORD399461,5990,3,20,17970,19,433,3594.0,9180.7,1.0,FFF_Titanium_1848,80855016,901505154,"6,82368E+12",'77.5,KEEPHONE,,10,'4.90,Чехлы,Чехол для смартфона,'0.41,'0.1,0,0,0,0,0,5990.0,7490.0,,0%,4.9,0.41,0.1,0,5990.0,7490.0,True,0.20026702269692923
ORD918840,В пути,44260719,HHH_Purple_8562,3790,4,10,Черная пятница,клх Дубна,Курьер,15160,379,19,"2880,4",121,"11779,6",Склад 3,10.08.2025,2025-08-10,379.0,2880.4,11779.6,HHH_Purple_8562,44260719,ORD918840,3790,4,10,15160,19,121,2274.0,9305.6,1.0,HHH_Purple_8562,44260719,263469245,RND465748248,'70,KEEPHONE,,0,'5.00,Чехлы,Чехол для смартфона,'0.28,'0.1,0,0,0,0,0,3790.0,5990.0,,0%,5.0,0.28,0.1,0,3790.0,5990.0,True,0.3672787979966611
ORD470357,Доставлен,51633895,BBB_Purple_8101,2000,3,0,Черная пятница,г. Слюдянка,ПВЗ,6000,0,13,780,439,4781,Склад 3,07.04.2025,2025-04-07,0.0,780.0,4781.0,BBB_Purple_8101,51633895,ORD470357,2000,3,0,6000,13,439,1200.0,3431.0,1.0,BBB_Purple_8101,51633895,676755398,RND518613902,'82.5,Нет бренда,,0,'5.00,Чехлы,Чехол для смартфона,'0.08,'0.1,0,0,3,0,0,2000.0,7900.0,,0%,5.0,0.08,0.1,0,2000.0,7900.0,True,0.7468354430379747
ORD113279,Доставлен,68446959,HHH_Blue_5098,5980,1,10,Черная пятница,ст. Чокурдах,Постамат,5980,598,11,"657,8",351,"4373,2",Склад 2,29.03.2025,2025-03-29,598.0,657.8,4373.2,HHH_Blue_5098,68446959,ORD113279,5980,1,10,5980,11,351,3588.0,735.1999999999998,0.122943143812709,HHH_Blue_5098,68446959,141244992,"6,67453E+12",'45,KZDOO,,1,'5.00,Чехлы,Чехол для смартфона,'0.36,'0.1,0,0,0,0,0,5980.0,11990.0,,0%,5.0,0.36,0.1,0,5980.0,11990.0,True,0.5012510425354462
ORD873526,В пути,48819696,BBB_Black_2129,5100,3,20,Черная пятница,г. Ведено,ПВЗ,15300,1020,18,2754,295,11231,Склад 2,09.05.2025,2025-05-09,1020.0,2754.0,11231.0,BBB_Black_2129,48819696,ORD873526,5100,3,20,15300,18,295,3060.0,8021.0,1.0,BBB_Black_2129,48819696,889193037,"2,92901E+12",'70,KZDOO,,14,'4.90,Чехлы,Чехол для наушников,'0.30,'0.1,14,0,10,0,0,5100.0,11990.0,,0%,4.9,0.3,0.1,0,5100.0,11990.0,True,0.5746455379482902
ORD159437,В пути,19991230,GGG_Clear_6751,5380,4,15,Новогодняя распродажа,к. Махачкала,Курьер,21520,807,19,"4088,8",455,"16169,2",Склад 1,12.03.2025,2025-03-12,807.0,4088.8,16169.2,GGG_Clear_6751,19991230,ORD159437,5380,4,15,21520,19,455,3228.0,12741.2,1.0,GGG_Clear_6751,19991230,288702247,"1,78876E+12",'52.5,KZDOO,,11,'4.90,Чехлы,Чехол для смартфона,'0.36,'0.1,11,0,10,0,0,5380.0,11990.0,,0%,4.9,0.36,0.1,0,5380.0,11990.0,True,0.5512927439532944
ORD844963,Отменен,84862533,FFF_Red_8076,7580,2,5,Черная пятница,клх Кимры,ПВЗ,15160,379,12,"1819,2",438,"12523,8",Склад 3,12.06.2025,2025-06-12,379.0,1819.2,12523.8,FFF_Red_8076,84862533,ORD844963,7580,2,5,15160,12,438,4548.0,7875.799999999999,1.0,FFF_Red_8076,84862533,240470262,"6,59636E+12",'70,KEEPHONE,,6,'5.00,Чехлы,Чехол для смартфона,'0.60,'0.1,1,0,0,0,0,7580.0,11990.0,,0%,5.0,0.6,0.1,0,7580.0,11990.0,True,0.3678065054211843
ORD503417,В пути,99453640,CCC_Green_7311,11100,3,5,Нет,клх Клин,ПВЗ,33300,555,13,4329,218,28198,Склад 2,25.01.2025,2025-01-25,555.0,4329.0,28198.0,CCC_Green_7311,99453640,ORD503417,11100,3,5,33300,13,218,6660.0,21388.0,1.0,CCC_Green_7311,99453640,311121353,RND739795782,'70,KZDOO,,0,'4.80,Чехлы,Чехол для смартфона,'0.36,'0.1,1,0,0,0,0,11100.0,11990.0,,0%,4.8,0.36,0.1,0,11100.0,11990.0,True,0.07422852376980818
ORD469944,В пути,15752189,HHH_Pink_7554,5100,3,15,Нет,г. Мичуринск,Курьер,15300,765,19,2907,416,11212,Склад 2,04.07.2025,2025-07-04,765.0,2907.0,11212.0,HHH_Pink_7554,15752189,ORD469944,5100,3,15,15300,19,416,3060.0,8002.0,1.0,HHH_Pink_7554,15752189,835545947,RND992495291,'70,KZDOO,,2,'4.90,Чехлы,Чехол для наушников,'0.30,'0.1,2,0,10,0,0,5100.0,11990.0,,0%,4.9,0.3,0.1,0,5100.0,11990.0,True,0.5746455379482902
ORD914651,Отменен,61524158,FFF_Blue_7386,5100,1,0,Черная пятница,ст. Шамары,Курьер,5100,0,17,867,139,4094,Склад 2,01.04.2025,2025-04-01,0.0,867.0,4094.0,FFF_Blue_7386,61524158,ORD914651,5100,1,0,5100,17,139,3060.0,984.0,0.19294117647058823,FFF_Blue_7386,61524158,241253269,RND479353388,'45,KZDOO,,0,'1.00,Чехлы,Чехол для смартфона,'0.36,'0.1,1,0,10,0,0,5100.0,11990.0,,0%,1.0,0.36,0.1,0,5100.0,11990.0,True,0.5746455379482902
