customer_id,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Sum,segment,tier
16975545,62,1,4900,3,1,1,311,5,Potential Loyalists,Bronze
17280340,12,4,17200,5,2,4,524,11,High Value New Customers,Gold
17430134,56,2,13180,3,1,4,314,8,314,Silver
17625450,101,4,22320,2,2,5,225,9,Cannot Lose Them,Gold
17897185,72,3,14970,3,2,4,324,9,324,Gold
17932091,59,3,10470,3,2,3,323,8,Potential Loyalists,Silver
17961013,225,3,10470,1,2,3,123,6,123,Silver
18140841,56,5,24900,3,3,5,335,11,Loyal Customers,Gold
18156492,10,4,23920,5,2,5,525,12,High Value New Customers,Platinum
18386274,258,1,2900,1,1,1,111,3,At Risk,Bronze
18398142,205,2,13160,1,1,4,114,6,Cannot Lose Them,Silver
18488674,41,5,17450,4,3,4,434,11,Loyal Customers,Gold
18519010,31,3,19740,4,2,4,424,10,High Value New Customers,Gold
18885984,53,4,24800,3,2,5,325,10,325,Gold
18893470,262,1,2780,1,1,1,111,3,At Risk,Bronze
18952810,25,2,22200,4,1,5,415,10,High Value New Customers,Gold
19259686,62,5,20000,3,3,4,334,10,Loyal Customers,Gold
19287744,119,1,11100,2,1,3,213,6,213,Silver
19331204,11,2,10200,5,1,3,513,9,New Customers,Gold
19765974,6,2,5960,5,1,2,512,8,New Customers,Silver
19770679,45,5,39140,4,3,5,435,12,Loyal Customers,Platinum
19861565,54,4,26320,3,2,5,325,10,325,Gold
19928290,13,3,10800,5,2,3,523,10,New Customers,Gold
19963943,64,3,4200,3,2,1,321,6,Potential Loyalists,Silver
19979580,178,1,6490,1,1,2,112,4,At Risk,Bronze
19979751,103,1,6050,2,1,2,212,5,At Risk,Bronze
19991230,85,2,10760,3,1,3,313,7,Potential Loyalists,Silver
20387700,101,3,20940,2,2,4,224,8,Cannot Lose Them,Silver
20450748,7,3,33300,5,2,5,525,12,High Value New Customers,Platinum
20586151,3,4,27960,5,2,5,525,12,High Value New Customers,Platinum
20762733,5,2,3100,5,1,1,511,7,New Customers,Silver
20765137,138,4,6320,2,2,2,222,6,About To Sleep,Silver
20862535,90,3,16740,2,2,4,224,8,Cannot Lose Them,Silver
20929551,122,2,2900,2,1,1,211,4,At Risk,Bronze
21059414,261,1,2100,1,1,1,111,3,At Risk,Bronze
21090709,138,1,1540,2,1,1,211,4,At Risk,Bronze
21167732,8,2,19960,5,1,4,514,10,High Value New Customers,Gold
21200354,157,1,5990,1,1,2,112,4,At Risk,Bronze
21286645,135,1,2200,2,1,1,211,4,At Risk,Bronze
21410336,213,1,2780,1,1,1,111,3,At Risk,Bronze
21656338,80,3,15300,3,2,4,324,9,324,Gold
21673576,108,1,11100,2,1,3,213,6,213,Silver
21820132,12,2,22200,5,1,5,515,11,High Value New Customers,Gold
21837136,29,3,6900,4,2,2,422,8,New Customers,Silver
21929427,10,3,14970,5,2,4,524,11,High Value New Customers,Gold
21970497,29,2,7828,4,1,2,412,7,New Customers,Silver
22020509,131,1,1490,2,1,1,211,4,At Risk,Bronze
22078766,100,1,7500,2,1,2,212,5,At Risk,Bronze
22172016,91,2,12400,2,1,4,214,7,Cannot Lose Them,Silver
22258405,65,3,10470,3,2,3,323,8,Potential Loyalists,Silver
22270955,14,5,14900,5,3,4,534,12,Loyal Customers,Platinum
22599508,70,1,7180,3,1,2,312,6,Potential Loyalists,Silver
22705435,80,2,13160,3,1,4,314,8,314,Silver
22843017,223,1,6090,1,1,2,112,4,At Risk,Bronze
22878176,232,2,13160,1,1,4,114,6,Cannot Lose Them,Silver
22934764,66,2,2840,3,1,1,311,5,Potential Loyalists,Bronze
23021957,70,3,3000,3,2,1,321,6,Potential Loyalists,Silver
23245835,24,2,5960,4,1,2,412,7,New Customers,Silver
23392944,254,2,13180,1,1,4,114,6,Cannot Lose Them,Silver
23429358,209,2,22200,1,1,5,115,7,Cannot Lose Them,Silver
24046960,13,3,8940,5,2,3,523,10,New Customers,Gold
24115955,132,1,5180,2,1,2,212,5,At Risk,Bronze
24148272,51,3,10470,3,2,3,323,8,Potential Loyalists,Silver
24165881,206,1,5580,1,1,2,112,4,At Risk,Bronze
24499014,6,3,9540,5,2,3,523,10,New Customers,Gold
24553956,27,5,23900,4,3,5,435,12,Loyal Customers,Platinum
24565729,42,3,27540,4,2,5,425,11,High Value New Customers,Gold
24644733,67,2,6954,3,1,2,312,6,Potential Loyalists,Silver
24653069,113,2,9960,2,1,3,213,6,213,Silver
24666903,6,3,10140,5,2,3,523,10,New Customers,Gold
24763399,50,2,22200,3,1,5,315,9,315,Gold
24789210,74,2,13160,3,1,4,314,8,314,Silver
24862643,49,5,36900,4,3,5,435,12,Loyal Customers,Platinum
25273810,78,3,8940,3,2,3,323,8,Potential Loyalists,Silver
25324439,19,4,8000,5,2,2,522,9,New Customers,Gold
25673692,14,3,25500,5,2,5,525,12,High Value New Customers,Platinum
25688149,91,5,36500,2,3,5,235,10,235,Gold
25990523,44,3,2040,4,2,1,421,7,New Customers,Silver
25995510,54,4,18400,3,2,4,324,9,324,Gold
26194974,14,7,23660,5,4,5,545,14,Champions,Platinum
26479913,61,2,14360,3,1,4,314,8,314,Silver
26483342,109,3,14940,2,2,4,224,8,Cannot Lose Them,Silver
26492031,16,5,9000,5,3,3,533,11,Loyal Customers,Gold
26492321,69,5,11500,3,3,3,333,9,Loyal Customers,Gold
26561997,131,2,13160,2,1,4,214,7,Cannot Lose Them,Silver
26669048,41,1,11990,4,1,3,413,8,New Customers,Silver
26677770,103,5,18500,2,3,4,234,9,234,Gold
26726668,85,2,6360,3,1,2,312,6,Potential Loyalists,Silver
26751676,51,3,10500,3,2,3,323,8,Potential Loyalists,Silver
26802010,25,6,25200,4,3,5,435,12,Loyal Customers,Platinum
26878119,102,3,12540,2,2,4,224,8,Cannot Lose Them,Silver
27378295,81,3,2700,3,2,1,321,6,Potential Loyalists,Silver
27451798,246,1,1580,1,1,1,111,3,At Risk,Bronze
27500707,57,3,5670,3,2,2,322,7,Potential Loyalists,Silver
27574394,111,4,8000,2,2,2,222,6,About To Sleep,Silver
27622520,111,4,13960,2,2,4,224,8,Cannot Lose Them,Silver
27685318,27,1,5300,4,1,2,412,7,New Customers,Silver
27730464,85,3,21540,3,2,4,324,9,324,Gold
27922657,24,2,11556,4,1,3,413,8,New Customers,Silver
27995241,12,5,12450,5,3,4,534,12,Loyal Customers,Platinum
28074469,18,5,24950,5,3,5,535,13,Loyal Customers,Platinum
28202461,31,2,9960,4,1,3,413,8,New Customers,Silver
28227796,31,4,20800,4,2,4,424,10,High Value New Customers,Gold
28310439,4,2,5580,5,1,2,512,8,New Customers,Silver
28393426,62,1,2490,3,1,1,311,5,Potential Loyalists,Bronze
28410571,2,1,3490,5,1,1,511,7,New Customers,Silver
28525798,123,5,30250,2,3,5,235,10,235,Gold
28559790,219,1,2700,1,1,1,111,3,At Risk,Bronze
28610359,52,1,3162,3,1,1,311,5,Potential Loyalists,Bronze
28647941,68,1,1390,3,1,1,311,5,Potential Loyalists,Bronze
28663473,123,1,720,2,1,1,211,4,At Risk,Bronze
28732161,158,3,1470,1,2,1,121,4,At Risk,Bronze
28865428,107,2,3800,2,1,1,211,4,At Risk,Bronze
28866848,10,2,5960,5,1,2,512,8,New Customers,Silver
28964554,71,4,10800,3,2,3,323,8,Potential Loyalists,Silver
29055787,132,5,35900,2,3,5,235,10,235,Gold
29108949,163,2,13980,1,1,4,114,6,Cannot Lose Them,Silver
29143377,18,5,1900,5,3,1,531,9,New Customers,Gold
29195433,99,4,11920,2,2,3,223,7,About To Sleep,Silver
29302655,28,5,15500,4,3,4,434,11,Loyal Customers,Gold
29400855,229,2,13160,1,1,4,114,6,Cannot Lose Them,Silver
29540923,20,4,20720,5,2,4,524,11,High Value New Customers,Gold
29875570,2,7,4620,5,4,1,541,10,541,Gold
30038596,56,1,2150,3,1,1,311,5,Potential Loyalists,Bronze
30155466,3,5,27900,5,3,5,535,13,Loyal Customers,Platinum
30184321,251,2,5560,1,1,2,112,4,At Risk,Bronze
30321714,49,2,22000,4,1,5,415,10,High Value New Customers,Gold
30465096,218,1,4980,1,1,1,111,3,At Risk,Bronze
30512809,54,2,5380,3,1,2,312,6,Potential Loyalists,Silver
31270055,191,1,7180,1,1,2,112,4,At Risk,Bronze
31302298,123,2,9960,2,1,3,213,6,213,Silver
31684574,66,4,10360,3,2,3,323,8,Potential Loyalists,Silver
31743322,256,1,11100,1,1,3,113,5,113,Bronze
31817974,10,3,4350,5,2,1,521,8,New Customers,Silver
31882676,93,2,9960,2,1,3,213,6,213,Silver
31910726,236,1,5700,1,1,2,112,4,At Risk,Bronze
31965024,52,1,6980,3,1,2,312,6,Potential Loyalists,Silver
32067104,66,4,29200,3,2,5,325,10,325,Gold
32156174,43,3,5850,4,2,2,422,8,New Customers,Silver
32219595,107,4,8800,2,2,3,223,7,About To Sleep,Silver
32484702,116,4,29200,2,2,5,225,9,Cannot Lose Them,Gold
32639679,177,3,20970,1,2,4,124,7,Cannot Lose Them,Silver
32712151,91,2,11960,2,1,3,213,6,213,Silver
32717202,15,3,6960,5,2,2,522,9,New Customers,Gold
32826828,13,5,34950,5,3,5,535,13,Loyal Customers,Platinum
32897454,221,2,9960,1,1,3,113,5,113,Bronze
32921978,137,5,35900,2,3,5,235,10,235,Gold
32997683,10,5,13900,5,3,4,534,12,Loyal Customers,Platinum
33150933,136,2,11160,2,1,3,213,6,213,Silver
33191023,56,4,20720,3,2,4,324,9,324,Gold
33336859,28,5,30000,4,3,5,435,12,Loyal Customers,Platinum
33346489,9,3,3180,5,2,1,521,8,New Customers,Silver
33351587,20,3,29940,5,2,5,525,12,High Value New Customers,Platinum
33567369,45,2,4980,4,1,1,411,6,New Customers,Silver
33739806,22,3,3000,4,2,1,421,7,New Customers,Silver
33746541,56,1,2750,3,1,1,311,5,Potential Loyalists,Bronze
33846396,48,3,9870,4,2,3,423,9,New Customers,Gold
33858877,258,1,6990,1,1,2,112,4,At Risk,Bronze
33871669,243,1,4980,1,1,1,111,3,At Risk,Bronze
33947909,43,3,18000,4,2,4,424,10,High Value New Customers,Gold
33958975,72,2,9980,3,1,3,313,7,Potential Loyalists,Silver
34088668,44,2,15160,4,1,4,414,9,High Value New Customers,Gold
34175452,71,1,4400,3,1,1,311,5,Potential Loyalists,Bronze
34456061,70,1,4980,3,1,1,311,5,Potential Loyalists,Bronze
34469882,59,2,4900,3,1,1,311,5,Potential Loyalists,Bronze
34502560,168,1,7828,1,1,2,112,4,At Risk,Bronze
34508876,192,1,5580,1,1,2,112,4,At Risk,Bronze
34539743,33,3,8970,4,2,3,423,9,New Customers,Gold
34643765,28,6,41880,4,3,5,435,12,Loyal Customers,Platinum
34657339,8,6,33000,5,3,5,535,13,Loyal Customers,Platinum
34751007,60,3,5940,3,2,2,322,7,Potential Loyalists,Silver
34800221,79,3,3360,3,2,1,321,6,Potential Loyalists,Silver
34965828,50,1,3368,3,1,1,311,5,Potential Loyalists,Bronze
35024002,5,1,3100,5,1,1,511,7,New Customers,Silver
35056511,152,2,2400,1,1,1,111,3,At Risk,Bronze
35122854,58,4,22000,3,2,5,325,10,325,Gold
35214367,73,4,39960,3,2,5,325,10,325,Gold
35421823,10,3,2580,5,2,1,521,8,New Customers,Silver
35501394,190,1,2890,1,1,1,111,3,At Risk,Bronze
35600902,176,2,15000,1,1,4,114,6,Cannot Lose Them,Silver
35605795,76,2,4400,3,1,1,311,5,Potential Loyalists,Bronze
35690160,74,3,16944,3,2,4,324,9,324,Gold
35738540,145,3,16500,2,2,4,224,8,Cannot Lose Them,Silver
35771482,172,1,6638,1,1,2,112,4,At Risk,Bronze
35892837,99,2,22000,2,1,5,215,8,Cannot Lose Them,Silver
35905708,116,1,5500,2,1,2,212,5,At Risk,Bronze
36225094,116,1,5980,2,1,2,212,5,At Risk,Bronze
36414021,2,2,22000,5,1,5,515,11,High Value New Customers,Gold
36496711,161,3,20208,1,2,4,124,7,Cannot Lose Them,Silver
36508832,6,2,5780,5,1,2,512,8,New Customers,Silver
36571012,13,5,6450,5,3,2,532,10,New Customers,Gold
36659027,70,1,5300,3,1,2,312,6,Potential Loyalists,Silver
36763385,26,3,17970,4,2,4,424,10,High Value New Customers,Gold
36814941,95,1,5500,2,1,2,212,5,At Risk,Bronze
36890351,19,2,10360,5,1,3,513,9,New Customers,Gold
36919791,5,3,5400,5,2,2,522,9,New Customers,Gold
37130177,111,2,5160,2,1,2,212,5,At Risk,Bronze
37203467,1,2,13160,5,1,4,514,10,High Value New Customers,Gold
37293235,114,2,6180,2,1,2,212,5,At Risk,Bronze
37316597,50,1,3180,3,1,1,311,5,Potential Loyalists,Bronze
37600233,165,2,1960,1,1,1,111,3,At Risk,Bronze
37739044,124,2,6980,2,1,2,212,5,At Risk,Bronze
37857061,76,3,8700,3,2,3,323,8,Potential Loyalists,Silver
37897172,97,3,14940,2,2,4,224,8,Cannot Lose Them,Silver
38056815,37,2,4780,4,1,1,411,6,New Customers,Silver
38070392,90,3,29940,2,2,5,225,9,Cannot Lose Them,Gold
38119865,158,4,21520,1,2,4,124,7,Cannot Lose Them,Silver
38137830,38,3,16140,4,2,4,424,10,High Value New Customers,Gold
38174132,43,5,11450,4,3,3,433,10,Loyal Customers,Gold
38203618,30,1,5980,4,1,2,412,7,New Customers,Silver
38609788,2,2,11960,5,1,3,513,9,New Customers,Gold
38702896,235,1,4980,1,1,1,111,3,At Risk,Bronze
38798252,55,2,5400,3,1,2,312,6,Potential Loyalists,Silver
38916371,6,4,32800,5,2,5,525,12,High Value New Customers,Platinum
39181299,19,1,7180,5,1,2,512,8,New Customers,Silver
39196346,16,3,17940,5,2,4,524,11,High Value New Customers,Gold
39462607,136,1,11100,2,1,3,213,6,213,Silver
39478464,49,3,11100,4,2,3,423,9,New Customers,Gold
39493765,176,1,9100,1,1,3,113,5,113,Bronze
39497042,41,4,8000,4,2,2,422,8,New Customers,Silver
39535140,82,2,6200,3,1,2,312,6,Potential Loyalists,Silver
39705473,74,1,5300,3,1,2,312,6,Potential Loyalists,Silver
39912009,31,5,24950,4,3,5,435,12,Loyal Customers,Platinum
39920707,8,2,2000,5,1,1,511,7,New Customers,Silver
40042947,28,2,11980,4,1,3,413,8,New Customers,Silver
40509576,16,2,14360,5,1,4,514,10,High Value New Customers,Gold
40542742,7,2,10400,5,1,3,513,9,New Customers,Gold
40831517,119,3,10770,2,2,3,223,7,About To Sleep,Silver
40877478,55,2,9980,3,1,3,313,7,Potential Loyalists,Silver
40907194,47,2,11980,4,1,3,413,8,New Customers,Silver
40911969,37,2,12180,4,1,3,413,8,New Customers,Silver
40968458,238,1,4980,1,1,1,111,3,At Risk,Bronze
41313579,38,4,4800,4,2,1,421,7,New Customers,Silver
41413237,31,1,7180,4,1,2,412,7,New Customers,Silver
41460381,65,4,15264,3,2,4,324,9,324,Gold
41515025,9,4,3920,5,2,1,521,8,New Customers,Silver
41812842,11,3,14940,5,2,4,524,11,High Value New Customers,Gold
41865954,52,4,23920,3,2,5,325,10,325,Gold
41999620,42,3,4260,4,2,1,421,7,New Customers,Silver
42076004,95,1,5100,2,1,2,212,5,At Risk,Bronze
42123172,27,7,14350,4,4,4,444,12,Champions,Platinum
42232730,41,2,21560,4,1,5,415,10,High Value New Customers,Gold
42236708,5,6,33480,5,3,5,535,13,Loyal Customers,Platinum
42294120,60,4,19920,3,2,4,324,9,324,Gold
42354439,56,2,13160,3,1,4,314,8,314,Silver
42364136,55,8,22240,3,4,5,345,12,Loyal Customers,Platinum
42373022,45,1,5500,4,1,2,412,7,New Customers,Silver
42375033,89,1,9100,2,1,3,213,6,213,Silver
42464834,106,2,6800,2,1,2,212,5,At Risk,Bronze
42522552,72,2,2160,3,1,1,311,5,Potential Loyalists,Bronze
42530270,93,2,9980,2,1,3,213,6,213,Silver
42599054,88,1,7580,2,1,2,212,5,At Risk,Bronze
42624136,22,5,45900,4,3,5,435,12,Loyal Customers,Platinum
42668897,36,3,22140,4,2,5,425,11,High Value New Customers,Gold
42669478,112,5,55500,2,3,5,235,10,235,Gold
42673199,13,3,21540,5,2,4,524,11,High Value New Customers,Gold
42826695,155,1,7990,1,1,2,112,4,At Risk,Bronze
43022400,3,4,11920,5,2,3,523,10,New Customers,Gold
43049959,2,4,22000,5,2,5,525,12,High Value New Customers,Platinum
43094185,109,2,9400,2,1,3,213,6,213,Silver
43138987,6,4,26320,5,2,5,525,12,High Value New Customers,Platinum
43178236,67,3,18000,3,2,4,324,9,324,Gold
43423685,1,4,13520,5,2,4,524,11,High Value New Customers,Gold
43502425,13,2,20012,5,1,4,514,10,High Value New Customers,Gold
43510857,43,3,19740,4,2,4,424,10,High Value New Customers,Gold
43666607,11,2,4100,5,1,1,511,7,New Customers,Silver
43747379,18,3,8940,5,2,3,523,10,New Customers,Gold
43776637,2,5,29900,5,3,5,535,13,Loyal Customers,Platinum
43817644,20,3,33300,5,2,5,525,12,High Value New Customers,Platinum
43896197,63,3,14940,3,2,4,324,9,324,Gold
43923333,137,3,17970,2,2,4,224,8,Cannot Lose Them,Silver
44062204,82,2,10760,3,1,3,313,7,Potential Loyalists,Silver
44146850,33,4,31312,4,2,5,425,11,High Value New Customers,Gold
44260719,22,5,18950,4,3,4,434,11,Loyal Customers,Gold
44323356,65,4,20400,3,2,4,324,9,324,Gold
44373202,44,3,4740,4,2,1,421,7,New Customers,Silver
44426303,155,2,9960,1,1,3,113,5,113,Bronze
44699881,118,2,13560,2,1,4,214,7,Cannot Lose Them,Silver
44703697,11,5,24900,5,3,5,535,13,Loyal Customers,Platinum
44760063,58,2,11960,3,1,3,313,7,Potential Loyalists,Silver
44809215,149,2,14600,1,1,4,114,6,Cannot Lose Them,Silver
44901759,120,2,7000,2,1,2,212,5,At Risk,Bronze
45016869,0,3,10470,5,2,3,523,10,New Customers,Gold
45162734,114,2,11000,2,1,3,213,6,213,Silver
45437720,44,7,19950,4,4,4,444,12,Champions,Platinum
45765450,12,3,9540,5,2,3,523,10,New Customers,Gold
45844803,163,1,4906,1,1,1,111,3,At Risk,Bronze
45932023,121,2,12360,2,1,4,214,7,Cannot Lose Them,Silver
45963238,162,2,5200,1,1,2,112,4,At Risk,Bronze
46140671,23,3,21900,4,2,5,425,11,High Value New Customers,Gold
46303448,74,3,31200,3,2,5,325,10,325,Gold
46434145,6,4,20720,5,2,4,524,11,High Value New Customers,Gold
46518137,124,1,1560,2,1,1,211,4,At Risk,Bronze
46536130,136,3,11070,2,2,3,223,7,About To Sleep,Silver
46766529,76,3,21000,3,2,4,324,9,324,Gold
46775139,156,3,19740,1,2,4,124,7,Cannot Lose Them,Silver
46780122,84,2,11000,3,1,3,313,7,Potential Loyalists,Silver
46916967,0,1,2490,5,1,1,511,7,New Customers,Silver
47113990,129,3,20700,2,2,4,224,8,Cannot Lose Them,Silver
47335358,4,5,13900,5,3,4,534,12,Loyal Customers,Platinum
47344384,77,4,15920,3,2,4,324,9,324,Gold
47380526,83,4,19960,3,2,4,324,9,324,Gold
47418597,19,2,5800,5,1,2,512,8,New Customers,Silver
47477350,29,5,27500,4,3,5,435,12,Loyal Customers,Platinum
47545727,124,4,7200,2,2,2,222,6,About To Sleep,Silver
47547508,128,2,20760,2,1,4,214,7,Cannot Lose Them,Silver
47631395,67,5,27900,3,3,5,335,11,Loyal Customers,Gold
47730210,45,1,9180,4,1,3,413,8,New Customers,Silver
48025495,77,2,300,3,1,1,311,5,Potential Loyalists,Bronze
48103158,4,4,10000,5,2,3,523,10,New Customers,Gold
48542574,122,3,14970,2,2,4,224,8,Cannot Lose Them,Silver
48742299,0,6,66600,5,3,5,535,13,Loyal Customers,Platinum
48759312,67,5,7450,3,3,2,332,8,Potential Loyalists,Silver
48819696,129,3,15300,2,2,4,224,8,Cannot Lose Them,Silver
48820146,114,3,7740,2,2,2,222,6,About To Sleep,Silver
49167948,242,1,7180,1,1,2,112,4,At Risk,Bronze
49227251,27,3,4800,4,2,1,421,7,New Customers,Silver
49463647,196,2,22200,1,1,5,115,7,Cannot Lose Them,Silver
49649549,8,4,3520,5,2,1,521,8,New Customers,Silver
49969528,27,2,5960,4,1,2,412,7,New Customers,Silver
49991507,4,3,35970,5,2,5,525,12,High Value New Customers,Platinum
50339234,71,4,11732,3,2,3,323,8,Potential Loyalists,Silver
50394726,155,1,600,1,1,1,111,3,At Risk,Bronze
50625074,116,2,11960,2,1,3,213,6,213,Silver
50680192,37,1,11000,4,1,3,413,8,New Customers,Silver
50877595,90,2,6700,2,1,2,212,5,At Risk,Bronze
50907007,141,3,33300,2,2,5,225,9,Cannot Lose Them,Gold
51023847,20,3,14970,5,2,4,524,11,High Value New Customers,Gold
51160776,217,1,11000,1,1,3,113,5,113,Bronze
51178363,205,1,2980,1,1,1,111,3,At Risk,Bronze
51304009,45,4,27960,4,2,5,425,11,High Value New Customers,Gold
51313051,13,3,33300,5,2,5,525,12,High Value New Customers,Platinum
51498093,9,1,5580,5,1,2,512,8,New Customers,Silver
51575941,8,6,20280,5,3,4,534,12,Loyal Customers,Platinum
51633895,145,2,4000,2,1,1,211,4,At Risk,Bronze
51675683,230,2,12000,1,1,3,113,5,113,Bronze
51684723,6,3,21540,5,2,4,524,11,High Value New Customers,Gold
51752271,115,2,11000,2,1,3,213,6,213,Silver
51813913,11,3,6450,5,2,2,522,9,New Customers,Gold
51863845,57,1,420,3,1,1,311,5,Potential Loyalists,Bronze
52059480,151,2,9980,1,1,3,113,5,113,Bronze
52067394,22,3,2820,4,2,1,421,7,New Customers,Silver
52075157,81,3,21540,3,2,4,324,9,324,Gold
52116150,18,2,6760,5,1,2,512,8,New Customers,Silver
52180216,222,1,1800,1,1,1,111,3,At Risk,Bronze
52297033,32,4,10200,4,2,3,423,9,New Customers,Gold
52308782,19,5,19900,5,3,4,534,12,Loyal Customers,Platinum
52326977,69,3,4140,3,2,1,321,6,Potential Loyalists,Silver
52441227,1,1,2580,5,1,1,511,7,New Customers,Silver
52491122,17,2,11960,5,1,3,513,9,New Customers,Gold
52629278,135,5,29950,2,3,5,235,10,235,Gold
52732703,13,6,37200,5,3,5,535,13,Loyal Customers,Platinum
52760747,1,4,18800,5,2,4,524,11,High Value New Customers,Gold
52863920,198,2,22000,1,1,5,115,7,Cannot Lose Them,Silver
52923583,70,2,2000,3,1,1,311,5,Potential Loyalists,Bronze
52946669,229,1,2650,1,1,1,111,3,At Risk,Bronze
52953466,70,3,7470,3,2,2,322,7,Potential Loyalists,Silver
53249946,14,1,1624,5,1,1,511,7,New Customers,Silver
53363052,117,1,7180,2,1,2,212,5,At Risk,Bronze
53675020,12,3,16740,5,2,4,524,11,High Value New Customers,Gold
53858511,8,4,11800,5,2,3,523,10,New Customers,Gold
53977919,27,3,16740,4,2,4,424,10,High Value New Customers,Gold
54064492,30,2,9960,4,1,3,413,8,New Customers,Silver
54066848,141,1,9180,2,1,3,213,6,213,Silver
54094339,65,2,13160,3,1,4,314,8,314,Silver
54150352,95,2,3380,2,1,1,211,4,At Risk,Bronze
54154203,177,3,8940,1,2,3,123,6,123,Silver
54251905,12,4,8000,5,2,2,522,9,New Customers,Gold
54290924,31,5,35900,4,3,5,435,12,Loyal Customers,Platinum
54375561,171,4,10800,1,2,3,123,6,123,Silver
54421974,18,2,1040,5,1,1,511,7,New Customers,Silver
54599649,258,1,7380,1,1,2,112,4,At Risk,Bronze
54781961,37,3,22566,4,2,5,425,11,High Value New Customers,Gold
54981333,231,2,5780,1,1,2,112,4,At Risk,Bronze
55041656,105,2,5580,2,1,2,212,5,At Risk,Bronze
55068920,10,5,6300,5,3,2,532,10,New Customers,Gold
