Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Метки;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
'Air Carbon 13 Black;216051541;475905911;OZN475905911;Чехол на Айфон 13 K-DOO Air Carbon с защитой камер;'92.5;K-DOO;Продается;;241;'4.70;Показывается;;24.01.2022 15:18;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;1600.00;11990.00;;0%
'Air Carbon 13 Blue;216073442;475933040;OZN475933040;Ультратонкий чехол для iPhone 13 K-DOO Air Carbon с защитой камер, синий супертонкий чехол для Айфон 13;'82.5;K-DOO;Продается;;102;'4.70;Показывается;;24.01.2022 16:20;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;0;0;0;1800.00;11990.00;;0%
'Air Skin 13 Pro Max Black;220606209;482982365;OZN482982365;Ультратонкий чехол для iPhone 13 Pro Max K-DOO Air Skin, чёрный супертонкий чехол для Айфон 13 Про Макс;'100;K-DOO;Продается;;233;'4.80;Показывается;;29.01.2022 15:28;Чехлы;Чехол для смартфона;'1.22;'0.2;16;0;10;0;0;1800.00;11990.00;;0%
'Air Skin 13 Pro Max Clear;220608971;482984731;OZN482984731;Ультратонкий чехол для iPhone 13 Pro Max K-DOO Air Skin, белый супертонкий чехол Айфон 13 Про Макс;'100;K-DOO;Продается;;207;'4.80;Показывается;;29.01.2022 15:38;Чехлы;Чехол для смартфона;'0.36;'0.1;41;0;10;0;0;1800.00;11990.00;;0%
'Air Skin 13 Pro Black;220617831;483011401;OZN483011401;Ультратонкий чехол для iPhone 13 Pro K-DOO Air Skin, чёрный супертонкий чехол для Айфон 13 Про;'75;K-DOO;Продается;;194;'4.70;Показывается;;29.01.2022 16:15;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;8;0;0;1800.00;11990.00;;0%
'Air Skin 13 Pro Clear;220619406;483156858;OZN483156858;Ультратонкий чехол для iPhone 13 Pro K-DOO Air Skin, белый супертонкий чехол для Айфон 13 Про;'100;K-DOO;Готов к продаже;;242;'4.70;Показывается;;29.01.2022 16:22;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1800.00;11990.00;;0%
'Noble 13 Pro Max Black;221001318;483486909;OZN483486909;Кожаный чехол-накладка K-Doo Noble Collection для iPhone 13 Pro Max (Айфон 13 Про Макс), чёрный;'77.5;K-DOO;Продается;;40;'4.80;Показывается;;30.01.2022 13:23;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;6;0;0;4200.00;11990.00;;0%
'Noble 13 Pro Black;221001949;483474510;OZN483474510;Кожаный чехол-накладка K-Doo Noble Collection для iPhone 13 Pro (Айфон 13 Про), чёрный;'77.5;K-DOO;Продается;;41;'4.90;Показывается;;30.01.2022 13:30;Чехлы;Чехол для смартфона;'0.27;'0.1;5;0;0;0;0;6200.00;11990.00;;0%
'CR2032 Pan 2шт;221320523;483959413;OZN483959413;Элемент питания (батарейка) Panasonic CR2032 (2шт);'72.5;Panasonic;Не продается;;1149;'0.00;Скрыт;Отсутствуют документы на бренд;31.01.2022 13:03;Батарейки и аккумуляторы;Батарейка;'0.03;'0.1;0;0;0;0;0;250.00;900.00;;0%
'Air Skin 13 Pro Max Blue;225131233;490239853;OZN490239853;Ультратонкий чехол для iPhone 13 Pro Max K-DOO Air Skin, синий супертонкий чехол для Айфон 13 Про Макс;'77.5;K-DOO;Продается;;55;'4.80;Показывается;;08.02.2022 11:07;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;8;0;0;1800.00;11990.00;;0%
'Remax 13 Pro Max;255606531;536635561;OZN536635561;Защитное стекло на iPhone 13 Pro Max Medicine с олеофобным покрытием, защитное стекло для Айфон 13 Про Макс / 14 Плюс;'82.5;REMAX;Продается;;177;'4.70;Показывается;;28.03.2022 10:33;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;96;0;0;1000.00;4900.00;;0%
'Remax 13 Pro;255648919;536709329;OZN536709329;Защитное стекло на iPhone 13 / 13 Pro / 14 REMAX Medicine с олеофобным покрытием, защитное стекло для Айфон 13, 13 Про, 14;'82.5;REMAX;Продается;;254;'0.00;Показывается;;28.03.2022 11:18;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;6;0;12;0;0;2000.00;4900.00;;0%
'Remax 12 Pro Max;255698815;536786361;OZN536786361;Защитное стекло на iPhone 12 Pro Max Remax Medicine с олеофобным покрытием / защита экрана Айфон 12 Про Макс;'82.5;REMAX;Продается;;79;'4.80;Показывается;;28.03.2022 12:19;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;8;0;0;2000.00;4900.00;;0%
'Remax 12 Pro;255728323;536875397;OZN536875397;Защитное стекло на iPhone 12 / 12 Pro Remax Medicine с олеофобным покрытием, защита экрана Айфон 12, 12 Про;'82.5;REMAX;Продается;;213;'5.00;Показывается;;28.03.2022 12:58;Защитные пленки и стекла;Защитное стекло;'0.32;'0.1;3;0;10;0;0;2000.00;4900.00;;0%
'Remax 11 Pro Max;255754937;536924624;OZN536924624;Стекло на iPhone 11 Pro Max / Xs Max Remax Medicine с олеофобным покрытием , защита экрана Айфон 11 Про Макс;'75;REMAX;Продается;;103;'5.00;Показывается;;28.03.2022 13:42;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;9;0;0;2000.00;4900.00;;0%
'Remax 11;255766331;536945680;OZN536945680;Защитное стекло для iPhone 11 / Xr Remax Medicine с олеофобным покрытием, защита экрана Айфон 11 / Xr;'75;REMAX;Продается;;410;'5.00;Показывается;;28.03.2022 14:00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;8;0;0;1000.00;4900.00;;0%
'Remax 11 Pro;255788165;536985936;OZN536985936;Защитное стекло на iPhone 11 Pro / Xs / X Remax Medicine с олеофобным покрытием, защита экрана Айфон 11 Про, Xs, 10;'75;REMAX;Продается;;200;'0.00;Показывается;;28.03.2022 14:36;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;2;0;0;0;0;1000.00;4900.00;;0%
'Air Skin 13 Pro Blue;286728016;583954045;OZN583954045;Ультратонкий чехол для iPhone 13 Pro K-DOO Air Skin, синий супертонкий чехол для Айфон 13 Про;'77.5;K-DOO;Продается;;75;'4.70;Показывается;;11.05.2022 12:29;Чехлы;Чехол для смартфона;'0.36;'0.1;13;0;5;0;0;2700.00;11990.00;;0%
'Remax SE2020;296439853;599045557;OZN599045557;Cтекло на iPhone SE (2022 / 2020), 8, 7 Remax Medicine с олеофобным покрытием черное, защитное стекло для Айфон;'82.5;REMAX;Готов к продаже;;309;'5.00;Показывается;;27.05.2022 10:46;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;0;0;0;490.00;1490.00;;0%
'Air Skin 13 Pro Sky;304053411;611025498;OZN611025498;Чехол для iPhone 13 Pro ультратонкий K-DOO Air Skin, голубой супертонкий чехол для Айфон 13 Про;'77.5;K-DOO;Продается;;105;'4.70;Показывается;;08.06.2022 11:49;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;8;0;0;2700.00;11990.00;;0%
'Air Skin 13 Pro Max Sky;304077309;611058779;OZN611058779;Чехол для iPhone 13 Pro Max ультратонкий K-DOO Air Skin, голубой супертонкий чехол для Айфон 13 Про Макс;'77.5;K-DOO;Готов к продаже;;99;'4.80;Показывается;;08.06.2022 12:30;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;2700.00;11990.00;;0%
'Keephone Magnet Pro 13 Pro Max;304978656;612612615;OZN612612615;Чехол для iPhone 13 Pro Max с Mag Safe Keephone Magnet Pro, прозрачный противоударный чехол для Айфон 13 Про Макс;'77.5;KEEPHONE;Готов к продаже;;82;'4.90;Показывается;;09.06.2022 16:43;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1950.00;2990.00;;0%
'Keephone Magnet Pro 13 Pro;305978976;614281070;OZN614281070;Чехол для iPhone 13 Pro с Mag Safe Keephone Magnet Pro, прозрачный противоударный чехол для Айфон 13 Про;'77.5;KEEPHONE;Готов к продаже;;21;'5.00;Показывается;;11.06.2022 11:47;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1890.00;2990.00;;0%
'Keephone Heldro Sky 13 Pro Max мат;306387548;614718632;OZN614718632;Чехол для iPhone 13 Pro Max с держателем Keephone Heldro Sky, хамелеон для Айфон 13 Про Макс);'70;KEEPHONE;Готов к продаже;;52;'0.00;Показывается;;12.06.2022 13:46;Чехлы;Чехол для смартфона;'0.27;'0.1;0;0;0;0;0;2490.00;2990.00;;0%
'Noble 13 Pro Sky;334116349;660348239;OZN660348239;Кожаный чехол для iPhone 13 Pro K-Doo Noble Collection, голубой чехол для Айфон 13 Про;'77.5;K-DOO;Продается;;26;'4.90;Показывается;;03.08.2022 15:04;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;10;0;0;5500.00;11990.00;;0%
'Noble 13 Pro Green;334122219;660363573;OZN660363573;Кожаный чехол для iPhone 13 Pro K-Doo Noble Collection, зеленый чехол для Айфон 13 Про;'52.5;K-DOO;Продается;;26;'4.90;Показывается;;03.08.2022 15:21;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;5;0;0;5500.00;11990.00;;0%
'Noble 13 Pro Blue;334139759;660395864;OZN660395864;Кожаный чехол для iPhone 13 Pro K-Doo Noble Collection, темно-синий чехол для Айфон 13 Про;'52.5;K-DOO;Продается;;41;'4.90;Показывается;;03.08.2022 16:18;Чехлы;Чехол для смартфона;'0.36;'0.1;12;0;4;0;0;5500.00;11990.00;;0%
'Remax 7/8 White;345467003;680065650;OZN680065650;Защитное стекло для iPhone 8 / 7 белое Remax Medicine с олеофобным покрытием, защитное стекло Айфон 8 / 7;'57.5;REMAX;Готов к продаже;;32;'5.00;Показывается;;19.08.2022 16:15;Защитные пленки и стекла;Защитное стекло;'0.34;'0.1;0;0;0;0;0;660.00;1490.00;;0%
'Remax 14 Pro Max;361403685;706579372;OZN706579372;ЗАЩИТНОЕ СТЕКЛО для iPhone 14 Pro Max REMAX Medicine с олеофобным покрытием / защита экрана Айфон 14 Про Макс;'82.5;REMAX;Продается;;43;'5.00;Показывается;;09.09.2022 11:16;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;6;0;10;0;0;1240.00;4900.00;;0%
'Remax 14 Pro;361548668;706912468;OZN706912468;Защитное стекло на iPhone 14 Pro REMAX Medicine с олеофобным покрытием, защита экрана Айфон 14 Про;'82.5;REMAX;Продается;;46;'5.00;Показывается;;09.09.2022 12:48;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;97;0;0;1260.00;4900.00;;0%
'Remax 14;362148547;707868340;OZN707868340;Защитное стекло на iPhone 14 / 13 Pro / 13 REMAX Medicine с олеофобным покрытием, защитное стекло для Айфон 14, 13 Про,13;'82.5;REMAX;Продается;;22;'5.00;Показывается;;10.09.2022 14:46;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;105;0;0;1340.00;4900.00;;0%
'Air Carbon 14 Pro Max Black;362184699;707934596;OZN707934596;Чехол для iPhone 14 Pro Max ультратонкий KZDOO Air Carbon с защитой камер, чёрный супертонкий чехол для Айфон 14 Про Макс;'100;KZDOO;Продается;;138;'4.60;Показывается;;10.09.2022 16:24;Чехлы;Чехол для смартфона;'0.36;'0.1;7;0;5;0;0;2700.00;11990.00;;0%
'Air Carbon 14 Pro Max Blue;362191317;707964132;OZN707964132;Чехол для iPhone 14 Pro Max ультратонкий KZDOO Air Carbon с защитой камер, синий супертонкий чехол для Айфон 14 Про Макс;'77.5;KZDOO;Продается;;27;'4.60;Показывается;;10.09.2022 16:45;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;0;0;0;2700.00;11990.00;;0%
'Remax 14 Plus;362544612;708527772;OZN708527772;Защитное стекло для iPhone 14 Plus / 13 Pro Max REMAX Medicine с олеофобным покрытием, защитное стекло для Айфон 14 Плюс / 13 Про Макс;'75;REMAX;Продается;;10;'0.00;Показывается;;11.09.2022 9:21;Защитные пленки и стекла;Защитное стекло;'0.23;'0.2;0;0;98;0;0;1040.00;4900.00;;0%
'Air Carbon 14 Pro Black;362622546;708666997;OZN708666997;Чехол для iPhone 14 Pro ультратонкий KZDOO Air Carbon с защитой камер, чёрный супертонкий чехол для Айфон 14 Про;'75;KZDOO;Продается;;126;'4.90;Показывается;;11.09.2022 14:29;Чехлы;Чехол для смартфона;'0.41;'0.1;8;0;10;0;0;2580.00;11990.00;;0%
'Air Carbon 14 Pro Blue;362628498;708682346;OZN708682346;Чехол для iPhone 14 Pro ультратонкий KZDOO Air Carbon с защитой камер, синий супертонкий чехол для Айфон 14 Про;'77.5;KZDOO;Продается;;25;'4.90;Показывается;;11.09.2022 14:59;Чехлы;Чехол для смартфона;'0.36;'0.1;23;0;0;0;0;2780.00;11990.00;;0%
'Remax 13 Pro Max Privacy;368180965;717483807;OZN717483807;СТЕКЛО АНТИШПИОН для iPhone 13 Pro Max / 14 Plus REMAX Privacy (приватное) с олеофобным покрытием, защитное стекло для Айфон 13 Про Макс / 14 Плюс;'70;REMAX;Продается;;90;'4.90;Показывается;;17.09.2022 16:32;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;52;0;0;1460.00;4900.00;;0%
'Remax 13 Pro Privacy;368183770;717492690;OZN717492690;ПРИВАТНОЕ СТЕКЛО для iPhone 13 / 13 Pro / 14 REMAX Privacy с олеофобным покрытием, защитное стекло антишпион для Айфон 13,13 Про, 14;'70;REMAX;Продается;;234;'4.90;Показывается;;17.09.2022 16:49;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;44;0;1;1420.00;4900.00;;0%
'Noble 13 Pro Max Blue;369457502;719446271;OZN719446271;Чехол для iPhone 13 Pro Max K-Doo Noble Collection, синий чехол для Айфон 13 Про Макс;'77.5;K-DOO;Продается;;30;'4.80;Показывается;;19.09.2022 15:49;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;5;0;0;5500.00;11990.00;;0%
'Noble 13 Pro Max Green;369461693;719467810;OZN719467810;Чехол для iPhone 13 Pro Max K-Doo Noble Collection, зеленый для Айфон 13 Про Макс;'77.5;K-DOO;Продается;;28;'4.80;Показывается;;19.09.2022 16:08;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;4;0;0;5500.00;11990.00;;0%
'Noble 13 Pro Max Sky;376599565;731689319;OZN731689319;Кожаный чехол для iPhone 13 Pro Max K-Doo Noble Collection, голубой чехол Айфон 13 Про Макс;'77.5;K-DOO;Продается;;26;'4.80;Показывается;;02.10.2022 16:13;Чехлы;Чехол для смартфона;'0.36;'0.1;8;0;0;0;0;5500.00;11990.00;;0%
'Guardian 14 Pro Clear;380281663;738107007;OZN738107007;Чехол для iPhone 14 Pro KZDOO (K-DOO) Guardian, прозрачный противоударный чехол для Айфон 14 Про;'52.5;KZDOO;Продается;;21;'5.00;Показывается;;07.10.2022 11:13;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;4300.00;11990.00;;0%
'Guardian 14 Pro Max Clear;380297640;738384463;OZN738384463;Чехол для iPhone 14 Pro Max KZDOO (K-DOO) Guardian, прозрачный противоударный чехол для Айфон 14 Про Макс;'77.5;KZDOO;Продается;;32;'4.90;Показывается;;07.10.2022 11:42;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;10;0;0;4380.00;11990.00;;0%
'Guardian 14 Pro Black;386041205;747609722;OZN747609722;Чехол для iPhone 14 Pro KZDOO Guardian, черный противоударный чехол для Айфон 14 Про;'52.5;KZDOO;Продается;;43;'5.00;Показывается;;15.10.2022 10:18;Чехлы;Чехол для смартфона;'1.40;'0.3;4;0;10;0;0;4300.00;11990.00;;0%
'Guardian 14 Pro Max Black;386045142;747614121;OZN747614121;Чехол для iPhone 14 Pro Max KZDOO Guardian, черный противоударный чехол для Айфон 14 Про Макс;'77.5;KZDOO;Продается;;51;'4.90;Показывается;;15.10.2022 10:28;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;4;0;0;4180.00;11990.00;;0%
'Noble 14 Pro Black;394580303;762640266;OZN762640266;Кожаный чехол для iPhone 14 Pro KZDOO Noble Collection, чёрный чехол для Айфон 14 Про;'45;KZDOO;Продается;;67;'4.90;Показывается;;26.10.2022 11:43;Чехлы;Чехол для смартфона;'0.36;'0.1;23;0;0;0;0;5866.00;11990.00;;0%
'Noble 14 Pro Max Black;394640038;762617608;OZN762617608;Кожаный чехол для iPhone 14 Pro Max KZDOO Noble Collection, чёрный для Айфон 14 Про Макс;'77.5;KZDOO;Готов к продаже;;39;'4.80;Показывается;;26.10.2022 12:11;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;5580.00;11990.00;;0%
'Noble 14 Pro Max Green;395498252;763971970;OZN763971970;Кожаный чехол для iPhone 14 Pro Max KZDOO Noble Collection, зеленый чехол для Айфон 14 Про Макс;'77.5;KZDOO;Продается;;15;'4.80;Показывается;;27.10.2022 10:21;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;10;0;0;5580.00;11990.00;;0%
'Noble 14 Pro Green;395574689;764886408;OZN764886408;Кожаный чехол для iPhone 14 Pro KZDOO Noble Collection, зеленый чехол для Айфон 14 Про;'52.5;KZDOO;Продается;;11;'4.90;Показывается;;27.10.2022 11:48;Чехлы;Чехол для смартфона;'0.36;'0.1;11;0;10;0;0;5380.00;11990.00;;0%
'Remax 14 Pro Privacy;400622134;775030384;OZN775030384;ПРИВАТНОЕ СТЕКЛО для iPhone 14 Pro REMAX Privacy с олеофобным покрытием, защитное стекло для Айфон 14 Про;'70;REMAX;Продается;;146;'5.00;Показывается;;02.11.2022 14:31;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;60;0;0;1460.00;4900.00;;0%
'Remax 14 Pro Max Privacy;400684825;774359050;OZN774359050;ПРИВАТНОЕ СТЕКЛО на iPhone 14 Pro Max REMAX Privacy с олеофобным покрытием, защитное стекло антишпион для Айфон 14 Про Макс;'70;REMAX;Продается;;206;'4.90;Показывается;;02.11.2022 15:00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;26;0;0;1380.00;4900.00;;0%
'Air Skin 14 Pro Max Clear;422006956;810014293;OZN810014293;Чехол для iPhone 14 Pro Max ультратонкий KZDOO Air Skin с защитой камер, белый супертонкий чехол для Айфон 14 Про Макс;'77.5;KZDOO;Продается;;65;'4.90;Показывается;;03.12.2022 13:07;Чехлы;Чехол для смартфона;'1.57;'0.3;27;0;1;0;0;2700.00;11990.00;;0%
'Air Skin 14 Pro Max Blue;422018611;809970784;OZN809970784;Чехол для iPhone 14 Pro Max ультратонкий KZDOO Air Skin с защитой камер, синий супертонкий чехол для Айфон 14 Про Макс;'77.5;KZDOO;Продается;;11;'4.90;Показывается;;03.12.2022 13:58;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;5;0;0;2700.00;11990.00;;0%
'Air Skin 14 Pro Max Black;422020271;809988873;OZN809988873;Чехол для iPhone 14 Pro Max ультратонкий KZDOO Air Skin с защитой камер, черный супертонкий чехол для Айфон 14 Про Макс;'77.5;KZDOO;Продается;;61;'4.90;Показывается;;03.12.2022 14:05;Чехлы;Чехол для смартфона;'0.36;'0.1;13;0;9;0;0;2700.00;11990.00;;0%
'Air Skin 14 Pro Black;422348554;810455786;OZN810455786;Чехол для iPhone 14 Pro ультратонкий KZDOO Air Skin с защитой камер, черный супертонкий чехол для Айфон 14 Про;'77.5;KZDOO;Продается;;93;'4.90;Показывается;;04.12.2022 16:04;Чехлы;Чехол для смартфона;'0.36;'0.1;14;0;8;0;0;2700.00;11990.00;;0%
'Air Skin 14 Pro Clear;430260978;825080672;OZN825080672;Чехол для iPhone 14 Pro ультратонкий KZDOO Air Skin с защитой камер, белый супертонкий чехол для Айфон 14 Про;'90;KZDOO;Продается;;90;'4.90;Показывается;;22.12.2022 12:41;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;7;0;0;2780.00;11990.00;;0%
'Air Skin 14 Pro Blue;430273760;824935200;OZN824935200;Чехол для iPhone 14 Pro ультратонкий KZDOO Air Skin с защитой камер, синий супертонкий чехол для Айфон 14 Про;'77.5;KZDOO;Продается;;19;'4.90;Показывается;;22.12.2022 13:08;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;2700.00;11990.00;;0%
'Кармашек 14 Pro Max;430309661;826456245;OZN826456245;Чехол для iPhone 14 Pro Max с кармашком для карты, прозрачный силиконовый чехол для Айфон 14 Про Макс;'70;Нет бренда;Продается;;30;'4.70;Показывается;;22.12.2022 14:44;Чехлы;Чехол для смартфона;'0.30;'0.1;10;0;0;0;0;652.00;2900.00;;0%
'Кармашек 14 Pro;430324773;826730615;OZN826730615;Чехол для iPhone 14 Pro с кармашком для карты, силиконовый прозрачный чехол для Айфон 14 Про;'80;Нет бренда;Готов к продаже;;12;'5.00;Показывается;;22.12.2022 15:41;Чехлы;Чехол для смартфона;'0.30;'0.1;0;0;0;0;0;380.00;1690.00;;0%
'Air Skin 12 Pro Max Black;440700122;843411760;OZN843411760;Ультратонкий чехол для iPhone 12 Pro Max K-DOO Air Skin, чёрный супертонкий чехол для Айфон 12 Про Макс;'77.5;K-DOO;Продается;;109;'4.80;Показывается;;23.01.2023 10:39;Чехлы;Чехол для смартфона;'0.36;'0.1;18;0;10;0;0;2380.00;7900.00;;0%
'Air Carbon 12 Pro Max Black;440749063;843504830;OZN843504830;Ультратонкий чехол для iPhone 12 Pro Max K-DOO Air Carbon, чёрный супертонкий чехол для айфон 12 Про Макс;'82.5;K-DOO;Готов к продаже;;106;'4.40;Показывается;;23.01.2023 12:00;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1290.00;2990.00;;0%
'Noble 14 Pro Brown;454366003;868099986;OZN868099986;Кожаный чехол для iPhone 14 Pro KZDOO Noble Collection, коричневый чехол для Айфон 14 Про;'77.5;KZDOO;Продается;;28;'4.90;Показывается;;18.02.2023 8:45;Чехлы;Чехол для смартфона;'0.36;'0.1;14;0;5;0;0;5580.00;11990.00;;0%
'Noble 14 Pro White;454370768;868100190;OZN868100190;Кожаный чехол для iPhone 14 Pro KZDOO Noble Collection, белый чехол для Айфон 14 Про;'52.5;KZDOO;Продается;;30;'4.90;Показывается;;18.02.2023 8:51;Чехлы;Чехол для смартфона;'0.36;'0.1;11;0;10;0;0;5580.00;11990.00;;0%
'Noble 14 Pro Red;454375148;868115858;OZN868115858;Кожаный чехол для iPhone 14 Pro KZDOO Noble Collection, красный чехол для Айфон 14 Про;'77.5;KZDOO;Продается;;5;'4.90;Показывается;;18.02.2023 8:56;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;0;0;0;5580.00;11990.00;;0%
'Noble 14 Pro Blue;454383545;868137377;OZN868137377;Кожаный чехол для iPhone 14 Pro KZDOO Noble Collection, темно-синий чехол для Айфон 14 Про;'52.5;KZDOO;Продается;;17;'4.90;Показывается;;18.02.2023 9:03;Чехлы;Чехол для смартфона;'0.36;'0.1;13;0;10;0;0;5580.00;11990.00;;0%
'Noble 14 Pro Purple;454389368;868139246;OZN868139246;Кожаный чехол для iPhone 14 Pro KZDOO Noble Collection, фиолетовый чехол для Айфон 14 Про;'77.5;KZDOO;Продается;;43;'4.90;Показывается;;18.02.2023 9:10;Чехлы;Чехол для смартфона;'0.36;'0.1;23;1;10;0;0;5580.00;11990.00;;0%
