Номер отправления;Статус отправления;Ozon ID;Артикул товара;Итоговая стоимость;Количество товаров в отправлении;Скидка %;Акции;Регион доставки;Способ доставки;Сумма отправления;Скидка, руб.;Вознаграждение %;Вознаграждение, руб.;Стоимость доставки;К выплате;Склад отгрузки;Дата логистической операции
ORD457465;В пути;95754103;EEE_White_9532;2980;3;0;Черная пятница;с. Чита;Курьер;8940;0;18;1609,2;373;6957,8;Склад 3;02.03.2025
ORD361670;Отменен;93626225;FFF_Clear_4303;9990;3;15;Новогодняя распродажа;п. Якутск;ПВЗ;29970;1498,5;17;5094,9;332;23044,6;Склад 2;16.09.2025
ORD718001;В пути;39196346;AAA_Purple_3049;5980;2;20;Нет;д. Катайск;Курьер;11960;1196;17;2033,2;337;8393,8;Склад 2;13.01.2025
ORD946589;В пути;45016869;GGG_Black_6808;3490;4;5;Новогодняя распродажа;п. Сергиев Посад;Постамат;13960;174,5;11;1535,6;216;12033,9;Склад 3;03.09.2025
ORD605723;Отменен;59404266;GGG_Pink_4100;6090;1;5;Новогодняя распродажа;г. Якша;Постамат;6090;304,5;18;1096,2;206;4483,3;Склад 2;28.02.2025
ORD213113;Доставлен;33351587;CCC_Black_6996;9980;1;5;Нет;клх Тырныауз;ПВЗ;9980;499;12;1197,6;405;7878,4;Склад 2;11.04.2025
ORD856285;Отменен;43510857;GGG_Green_3846;6580;2;15;Новогодняя распродажа;к. Руза;Постамат;13160;987;19;2500,4;202;9470,6;Склад 1;29.05.2025
ORD656901;Доставлен;11165756;BBB_Clear_6493;6490;4;15;Нет;клх Воскресенск;Курьер;25960;973,5;13;3374,8;278;21333,7;Склад 3;05.08.2025
ORD805783;Отменен;97578232;DDD_Titanium_7441;4980;3;10;Нет;клх Углич;Курьер;14940;498;18;2689,2;377;11375,8;Склад 2;21.06.2025
ORD533471;Отменен;74566460;FFF_Blue_4146;11316;2;5;Новогодняя распродажа;к. Кулу;Курьер;22632;565,8;12;2715,84;131;19219,36;Склад 3;30.06.2025
ORD555979;В пути;11935679;DDD_Green_2791;6580;4;10;Нет;п. Чебаркуль;Курьер;26320;658;15;3948;337;21377;Склад 3;23.02.2025
ORD402712;Доставлен;33871669;EEE_Titanium_5854;4980;3;5;Новогодняя распродажа;г. Касимов;ПВЗ;14940;249;11;1643,4;335;12712,6;Склад 1;28.01.2025
ORD387929;В пути;23021957;EEE_Black_4856;1000;2;10;Нет;клх Нижний Новгород;Постамат;2000;100;16;320;373;1207;Склад 1;18.01.2025
ORD216082;Доставлен;99447531;HHH_Blue_6556;6580;4;10;Черная пятница;д. Туапсе;Постамат;26320;658;18;4737,6;247;20677,4;Склад 3;05.08.2025
ORD892776;Отменен;77963118;EEE_Clear_8396;2850;1;20;Нет;клх Москва;Курьер;2850;570;17;484,5;279;1516,5;Склад 1;20.04.2025
ORD990435;Отменен;61490753;EEE_Purple_3010;1140;1;10;Нет;п. Нижнеудинск;ПВЗ;1140;114;15;171;231;624;Склад 1;25.07.2025
ORD562096;Доставлен;13837776;CCC_Clear_4340;900;4;15;Новогодняя распродажа;д. Бомнак;Курьер;3600;135;10;360;423;2682;Склад 2;14.03.2025
ORD277485;В пути;42673199;HHH_White_7627;7180;1;10;Нет;к. Пушкин;Курьер;7180;718;19;1364,2;152;4945,8;Склад 1;12.05.2025
ORD334132;В пути;51813913;BBB_Blue_8050;2150;4;5;Черная пятница;д. Минеральные Воды;ПВЗ;8600;107,5;17;1462;485;6545,5;Склад 1;17.09.2025
ORD343999;В пути;52180216;FFF_Red_7430;1800;3;10;Черная пятница;с. Иваново;ПВЗ;5400;180;17;918;353;3949;Склад 2;18.02.2025
ORD238567;В пути;91841741;CCC_Pink_9680;7500;4;0;Нет;с. Забайкальск;Курьер;30000;0;17;5100;454;24446;Склад 2;12.01.2025
ORD796337;Отменен;95432311;HHH_Clear_8087;4980;3;5;Нет;к. Игнашино;Постамат;14940;249;17;2539,8;270;11881,2;Склад 3;04.09.2025
ORD365405;Отменен;45437720;DDD_Black_8635;2850;2;0;Черная пятница;клх Гатчина;Курьер;5700;0;14;798;232;4670;Склад 1;12.07.2025
ORD318298;Отменен;64474460;DDD_Titanium_4062;6520;4;5;Новогодняя распродажа;к. Слюдянка;Постамат;26080;326;17;4433,6;460;20860,4;Склад 2;15.08.2025
ORD341055;Отменен;15266766;AAA_Black_3318;3490;2;15;Черная пятница;ст. Ивдель;Постамат;6980;523,5;16;1116,8;139;5200,7;Склад 1;18.01.2025
ORD657307;Отменен;83601675;HHH_White_5225;9180;1;15;Черная пятница;д. Дубна;ПВЗ;9180;1377;18;1652,4;146;6004,6;Склад 3;24.01.2025
ORD380998;В пути;38137830;CCC_Titanium_4802;5380;3;15;Нет;с. Комсомольск-на-Амуре;ПВЗ;16140;807;18;2905,2;219;12208,8;Склад 1;07.02.2025
ORD634818;В пути;30184321;DDD_Clear_2056;2780;4;0;Нет;г. Хасан;Курьер;11120;0;10;1112;483;9525;Склад 1;20.01.2025
ORD971365;В пути;43049959;EEE_Purple_6689;5500;2;20;Черная пятница;ст. Карабудахкент;Постамат;11000;1100;13;1430;353;8117;Склад 1;08.09.2025
ORD980613;В пути;26677770;CCC_Titanium_7668;3700;3;5;Новогодняя распродажа;с. Магнитогорск;Постамат;11100;185;10;1110;321;9484;Склад 2;01.01.2025
ORD749831;Отменен;30038596;CCC_Red_8685;2150;3;15;Черная пятница;п. Суздаль;Курьер;6450;322,5;11;709,5;382;5036;Склад 2;03.08.2025
ORD464135;Отменен;57648642;AAA_Blue_3186;7380;1;5;Черная пятница;клх Избербаш;Курьер;7380;369;16;1180,8;266;5564,2;Склад 3;11.04.2025
ORD496712;Отменен;68455110;AAA_Purple_5764;4980;1;0;Новогодняя распродажа;п. Кириши;Курьер;4980;0;18;896,4;403;3680,6;Склад 1;28.07.2025
ORD244390;Доставлен;97371150;CCC_Titanium_4827;6000;3;20;Черная пятница;с. Ясный (Оренб.);ПВЗ;18000;1200;11;1980;257;14563;Склад 3;12.04.2025
ORD660354;В пути;58507722;AAA_Purple_1838;5500;3;0;Черная пятница;с. Когалым;Курьер;16500;0;14;2310;430;13760;Склад 3;11.05.2025
ORD964759;В пути;20929551;HHH_White_8048;1450;4;5;Нет;с. Поярково;Курьер;5800;72,5;19;1102;206;4419,5;Склад 2;29.05.2025
ORD817554;Отменен;12665141;EEE_Clear_2689;5580;3;20;Новогодняя распродажа;с. Ногинск (Моск.);Постамат;16740;1116;18;3013,2;211;12399,8;Склад 1;23.01.2025
ORD226932;В пути;21656338;AAA_Purple_3646;5100;4;20;Нет;клх Старая Русса;Курьер;20400;1020;15;3060;308;16012;Склад 1;10.07.2025
ORD452265;В пути;38609788;FFF_Black_2193;5980;3;0;Нет;г. Качканар;Постамат;17940;0;17;3049,8;272;14618,2;Склад 3;07.08.2025
ORD916245;Отменен;86313043;CCC_Purple_9765;3490;1;15;Новогодняя распродажа;к. Октябрьское (Челяб.);Постамат;3490;523,5;15;523,5;359;2084;Склад 1;16.07.2025
ORD246086;Доставлен;13837776;CCC_Clear_4340;900;4;5;Новогодняя распродажа;с. Енисейск;ПВЗ;3600;45;11;396;245;2914;Склад 2;29.05.2025
ORD346717;Доставлен;19963943;AAA_Black_2871;1400;2;10;Черная пятница;п. Курганинск;Курьер;2800;140;11;308;192;2160;Склад 3;01.07.2025
ORD233938;Доставлен;70074612;BBB_Red_5004;2860;1;10;Нет;д. Петушки;Курьер;2860;286;11;314,6;287;1972,4;Склад 3;21.09.2025
ORD619117;Отменен;13739750;BBB_Pink_5147;6090;4;0;Новогодняя распродажа;клх Нижнекамск;Постамат;24360;0;13;3166,8;324;20869,2;Склад 2;30.03.2025
ORD250806;В пути;60736622;HHH_Pink_2327;9380;4;5;Нет;п. Мокшан;ПВЗ;37520;469;19;7128,8;157;29765,2;Склад 2;04.05.2025
ORD353102;Отменен;94015399;HHH_Titanium_5260;4980;2;5;Нет;п. Белорецк;ПВЗ;9960;249;17;1693,2;322;7695,8;Склад 2;03.03.2025
ORD168427;Отменен;46775139;EEE_Green_8714;6580;4;0;Новогодняя распродажа;д. Россошь;Курьер;26320;0;14;3684,8;227;22408,2;Склад 2;31.01.2025
ORD899287;В пути;63259901;CCC_White_6266;5100;3;5;Черная пятница;г. Смирных;Постамат;15300;255;14;2142;256;12647;Склад 2;22.06.2025
ORD135392;Доставлен;42076004;BBB_Titanium_8654;5100;2;15;Нет;д. Котлас;Курьер;10200;765;12;1224;211;8000;Склад 2;25.06.2025
ORD461712;Доставлен;49649549;BBB_Black_9198;880;1;0;Новогодняя распродажа;клх Жигулевск;Курьер;880;0;17;149,6;472;258,4;Склад 3;03.03.2025
ORD676755;Отменен;50907007;DDD_White_7187;11100;1;15;Черная пятница;к. Орехово-Зуево;Курьер;11100;1665;18;1998;373;7064;Склад 1;18.02.2025
ORD535118;Доставлен;79145863;BBB_Clear_5799;2980;3;5;Нет;д. Брянск;Курьер;8940;149;12;1072,8;204;7514,2;Склад 1;22.09.2025
ORD854740;Отменен;55426923;AAA_Red_9393;7828;1;0;Новогодняя распродажа;п. Верхотурье;Постамат;7828;0;10;782,8;358;6687,2;Склад 3;01.06.2025
ORD702940;Отменен;91929436;HHH_Red_3612;2700;4;5;Нет;ст. Мценск;ПВЗ;10800;135;16;1728;439;8498;Склад 1;09.05.2025
ORD946946;В пути;93626225;FFF_Clear_4303;9990;4;0;Новогодняя распродажа;д. Витим;Курьер;39960;0;15;5994;260;33706;Склад 1;12.05.2025
ORD999527;В пути;21837136;GGG_Clear_8073;2300;3;5;Новогодняя распродажа;к. Оленегорск (Якут.);Курьер;6900;115;14;966;431;5388;Склад 3;25.04.2025
ORD831209;В пути;38056815;AAA_Pink_8879;2390;1;15;Нет;ст. Снежинск;Курьер;2390;358,5;16;382,4;161;1488,1;Склад 1;22.08.2025
ORD550422;Отменен;94336108;EEE_Titanium_3108;5580;1;15;Нет;ст. Руза;Курьер;5580;837;15;837;429;3477;Склад 1;05.05.2025
ORD858186;В пути;41515025;DDD_Purple_3677;980;3;5;Новогодняя распродажа;п. Завьялиха;ПВЗ;2940;49;12;352,8;316;2222,2;Склад 3;07.09.2025
ORD766814;Доставлен;39478464;BBB_Clear_6099;3700;2;0;Черная пятница;д. Рыбинск;ПВЗ;7400;0;13;962;189;6249;Склад 1;27.03.2025
ORD547785;Доставлен;54781961;DDD_Titanium_1016;7522;1;10;Нет;к. Моршанск;ПВЗ;7522;752,2;14;1053,08;262;5454,72;Склад 2;22.08.2025
ORD578554;Отменен;70326795;FFF_Purple_9422;11100;2;15;Новогодняя распродажа;д. Балтийск;ПВЗ;22200;1665;18;3996;495;16044;Склад 3;12.02.2025
ORD704250;Отменен;40042947;GGG_Green_4062;5990;1;15;Новогодняя распродажа;ст. Находка;Курьер;5990;898,5;19;1138,1;413;3540,4;Склад 1;24.08.2025
ORD314660;В пути;61674284;DDD_Black_1765;5560;1;10;Черная пятница;г. Краснотурьинск;Постамат;5560;556;18;1000,8;330;3673,2;Склад 1;27.02.2025
ORD451731;Отменен;59240777;DDD_Titanium_5938;1220;1;5;Черная пятница;ст. Енисейск;ПВЗ;1220;61;17;207,4;146;805,6;Склад 2;06.04.2025
ORD314839;Отменен;21970497;GGG_Black_1389;3914;1;0;Черная пятница;п. Елец;ПВЗ;3914;0;15;587,1;267;3059,9;Склад 3;02.04.2025
ORD116411;Доставлен;11460725;EEE_Purple_9341;7580;4;5;Нет;ст. Невельск;Курьер;30320;379;16;4851,2;205;24884,8;Склад 3;13.07.2025
ORD541226;Доставлен;16837385;AAA_Blue_3988;7580;2;20;Новогодняя распродажа;с. Тобольск;Курьер;15160;1516;19;2880,4;128;10635,6;Склад 1;04.07.2025
ORD931992;В пути;77440758;DDD_Red_3932;9180;2;15;Новогодняя распродажа;г. Чебаркуль;Курьер;18360;1377;12;2203,2;316;14463,8;Склад 2;04.04.2025
ORD709248;Отменен;17961013;GGG_Purple_4980;3490;1;20;Новогодняя распродажа;с. Сорочинск;Курьер;3490;698;15;523,5;455;1813,5;Склад 2;04.01.2025
ORD118389;Отменен;58484682;GGG_Green_9626;4380;1;15;Черная пятница;клх Чайковский;Постамат;4380;657;16;700,8;370;2652,2;Склад 2;20.05.2025
ORD256204;Доставлен;82611352;HHH_Pink_5740;3380;2;15;Новогодняя распродажа;к. Соль-Илецк;Постамат;6760;507;16;1081,6;199;4972,4;Склад 2;27.09.2025
ORD644336;Отменен;13687354;DDD_Black_1710;4990;4;20;Нет;клх Кировск (Ленин.);ПВЗ;19960;998;12;2395,2;329;16237,8;Склад 2;22.08.2025
ORD506926;Доставлен;65992151;FFF_Red_3712;3400;3;20;Черная пятница;с. Завьялиха;Постамат;10200;680;15;1530;477;7513;Склад 2;23.01.2025
ORD189433;В пути;72864961;BBB_Red_7058;6980;3;5;Черная пятница;с. Шаховская;ПВЗ;20940;349;17;3559,8;389;16642,2;Склад 3;10.04.2025
ORD881760;Доставлен;28310439;HHH_White_7575;2790;2;20;Черная пятница;д. Москва;ПВЗ;5580;558;14;781,2;375;3865,8;Склад 1;24.09.2025
ORD250394;Отменен;93363944;DDD_Blue_6449;580;1;5;Черная пятница;д. Камышин;Постамат;580;29;17;98,6;487;-34,6;Склад 1;27.07.2025
ORD988969;В пути;85687791;AAA_Black_9253;5980;1;5;Нет;п. Вилюйск;ПВЗ;5980;299;13;777,4;419;4484,6;Склад 2;07.06.2025
ORD802878;Доставлен;97679450;DDD_Titanium_6156;1340;4;5;Новогодняя распродажа;с. Тольятти;Курьер;5360;67;19;1018,4;154;4120,6;Склад 3;03.01.2025
ORD101096;Доставлен;24862643;FFF_Clear_2774;7380;3;15;Нет;с. Кулу;ПВЗ;22140;1107;15;3321;239;17473;Склад 3;16.06.2025
ORD405606;В пути;26492031;BBB_Pink_5852;1800;4;15;Новогодняя распродажа;с. Ревда (Сверд.);Курьер;7200;270;15;1080;486;5364;Склад 2;19.06.2025
ORD586618;В пути;55970003;CCC_Blue_8291;5580;3;20;Нет;д. Тутаев;Постамат;16740;1116;10;1674;295;13655;Склад 1;12.06.2025
ORD308994;Доставлен;79587722;BBB_Green_5708;2700;2;15;Черная пятница;к. Прохладный;Постамат;5400;405;11;594;144;4257;Склад 2;11.08.2025
ORD254230;Отменен;51633895;BBB_Purple_8101;2000;3;20;Черная пятница;с. Курган;ПВЗ;6000;400;16;960;283;4357;Склад 3;06.05.2025
ORD518488;Доставлен;18398142;BBB_Black_6019;6580;4;15;Нет;с. Орехово-Зуево;Курьер;26320;987;14;3684,8;378;21270,2;Склад 2;07.03.2025
ORD319057;В пути;82471173;FFF_Pink_7016;3100;4;0;Нет;г. Лодейное Поле;ПВЗ;12400;0;15;1860;499;10041;Склад 1;16.01.2025
ORD126292;Доставлен;59197687;GGG_Blue_7759;9180;4;0;Новогодняя распродажа;к. Яхрома;Постамат;36720;0;10;3672;229;32819;Склад 1;18.02.2025
ORD716773;В пути;38702896;CCC_Pink_9065;4980;2;20;Нет;ст. Сладково;ПВЗ;9960;996;18;1792,8;305;6866,2;Склад 3;05.02.2025
ORD943493;В пути;62735344;GGG_Blue_8476;2980;3;15;Нет;клх Билибино;ПВЗ;8940;447;17;1519,8;451;6522,2;Склад 2;15.02.2025
ORD371806;Отменен;80809032;CCC_Green_8797;2100;3;15;Новогодняя распродажа;к. Белоярский;Курьер;6300;315;11;693;242;5050;Склад 2;24.04.2025
ORD318418;В пути;58035424;DDD_Purple_3955;2700;4;5;Новогодняя распродажа;г. Елец;Постамат;10800;135;16;1728;143;8794;Склад 3;12.05.2025
ORD217586;В пути;85419196;BBB_Pink_3586;640;3;10;Новогодняя распродажа;клх Валаам;ПВЗ;1920;64;18;345,6;479;1031,4;Склад 2;22.04.2025
ORD820283;Отменен;69586840;GGG_White_9441;3180;1;20;Нет;ст. Гремячинск (Бурят.);Курьер;3180;636;16;508,8;295;1740,2;Склад 3;28.04.2025
ORD462336;В пути;96094802;HHH_Pink_9568;1390;1;10;Новогодняя распродажа;клх Сызрань;ПВЗ;1390;139;13;180,7;301;769,3;Склад 2;01.09.2025
ORD613479;Отменен;86076744;CCC_Titanium_7873;850;1;10;Черная пятница;ст. Алексин;Курьер;850;85;16;136;348;281;Склад 1;24.05.2025
ORD676161;Отменен;43817644;AAA_Green_1908;11100;3;20;Черная пятница;д. Шатой;Курьер;33300;2220;12;3996;101;26983;Склад 3;04.07.2025
ORD439314;В пути;34751007;EEE_Purple_9678;1980;2;15;Черная пятница;г. Углегорск;ПВЗ;3960;297;13;514,8;472;2676,2;Склад 2;09.06.2025
ORD750637;В пути;74692955;DDD_Black_2968;5124;2;20;Нет;ст. Звенигород;Постамат;10248;1024,8;12;1229,76;244;7749,44;Склад 2;02.07.2025
ORD789045;Доставлен;54421974;AAA_Titanium_7555;520;2;10;Черная пятница;п. Неплюевка;Постамат;1040;52;15;156;258;574;Склад 2;10.09.2025
ORD249643;Отменен;32897454;AAA_Black_9206;4980;2;15;Нет;п. Грозный;Курьер;9960;747;11;1095,6;169;7948,4;Склад 3;01.02.2025
ORD682845;Доставлен;50339234;CCC_Black_7296;2933;1;0;Нет;п. Кежма;Постамат;2933;0;19;557,27;251;2124,73;Склад 1;23.06.2025
ORD976516;В пути;73878829;BBB_White_4633;2900;1;20;Черная пятница;к. Нижнеудинск;Курьер;2900;580;13;377;421;1522;Склад 2;01.06.2025
ORD163349;Доставлен;97679450;DDD_Titanium_6156;1340;4;20;Новогодняя распродажа;клх Буденновск;Постамат;5360;268;12;643,2;419;4029,8;Склад 3;05.01.2025
ORD911442;Отменен;28964554;HHH_Clear_2719;2700;3;15;Нет;с. Бавлы;ПВЗ;8100;405;14;1134;474;6087;Склад 2;10.01.2025
ORD544332;Доставлен;68974260;EEE_Clear_3113;2500;3;0;Черная пятница;клх Урус-Мартан;Постамат;7500;0;12;900;261;6339;Склад 1;28.08.2025
ORD785528;Отменен;73339847;BBB_Clear_5381;2596;2;0;Нет;клх Вытегра;Курьер;5192;0;15;778,8;383;4030,2;Склад 1;17.04.2025
ORD561033;В пути;86221208;DDD_Clear_1598;6580;1;15;Новогодняя распродажа;г. Арзамас;Курьер;6580;987;13;855,4;302;4435,6;Склад 1;01.06.2025
ORD135628;В пути;44426303;CCC_Green_5742;4980;2;5;Новогодняя распродажа;клх Нягань;Постамат;9960;249;11;1095,6;421;8194,4;Склад 3;26.04.2025
ORD995509;Отменен;64199822;AAA_White_3239;5300;4;20;Черная пятница;д. Армавир;ПВЗ;21200;1060;12;2544;385;17211;Склад 2;22.03.2025
ORD289273;В пути;27500707;AAA_Titanium_8848;1890;3;20;Нет;клх Стрежевой;Курьер;5670;378;14;793,8;247;4251,2;Склад 3;15.05.2025
ORD944982;В пути;22934764;GGG_White_7632;1420;3;10;Нет;ст. Жиганск;Курьер;4260;142;10;426;234;3458;Склад 2;16.04.2025
ORD765618;В пути;20586151;CCC_Red_5609;6990;2;15;Нет;ст. Череповец;Курьер;13980;1048,5;17;2376,6;200;10354,9;Склад 3;25.09.2025
ORD965404;В пути;49991507;CCC_Blue_6413;11990;4;10;Нет;с. Красногорск (Моск.);Курьер;47960;1199;16;7673,6;330;38757,4;Склад 2;06.07.2025
ORD742900;Отменен;47344384;FFF_Blue_2457;3980;3;10;Черная пятница;к. Аргаяш;Курьер;11940;398;16;1910,4;485;9146,6;Склад 3;28.05.2025
